Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Ag Contraction Cropland: Alder/Maple Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Aspen/Birch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: California Mixed Conifer Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Douglas-fir Coastal Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Douglas-fir Inland Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Elm/Ash/Cottonwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Exotic Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Exotic Softwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Fir/Spruce/Mountain Hemlock Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Hemlock/Sitka Spruce Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Loblolly/Shortleaf Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Lodgepole Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Longleaf/Slash Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Maple/Beech/Birch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Oak/Gum/Cypress Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Oak/Hickory Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Oak/Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Other Western Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Other Western Softwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Pinyon/Juniper Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Ponderosa Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Redwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Spruce/Fir Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Tanoak/Laurel Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Tropical Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Western Larch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Western Oak Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Western White Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: White/Red/Jack Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Grassland Annual [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Grassland Irrigated Perennial [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Grassland Natural Perennial [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Shrubland Chaparral [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Shrubland Invaded Sage Steppe [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Shrubland Native Sage Steppe [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Shrubland Non-sage [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Shrubland Post Fire Shrub [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Shrubland Sage [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Wetland Estuarine Emergent [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Wetland Estuarine Forested [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Wetland Palustrine Emergent [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Cropland: Wetland Palustrine Forested [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Alder/Maple Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Aspen/Birch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: California Mixed Conifer Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Douglas-fir Coastal Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Douglas-fir Inland Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Elm/Ash/Cottonwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Exotic Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Exotic Softwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Fir/Spruce/Mountain Hemlock Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Grassland Annual [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Grassland Irrigated Perennial [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Grassland Natural Perennial [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Hemlock/Sitka Spruce Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Loblolly/Shortleaf Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Lodgepole Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Longleaf/Slash Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Maple/Beech/Birch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Oak/Gum/Cypress Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Oak/Hickory Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Oak/Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Other Western Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Other Western Softwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Pinyon/Juniper Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Ponderosa Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Redwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Shrubland Chaparral [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Shrubland Invaded Sage Steppe [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Shrubland Native Sage Steppe [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Shrubland Non-sage [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Shrubland Post Fire Shrub [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Shrubland Sage [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Spruce/Fir Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Tanoak/Laurel Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Tropical Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Western Larch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Western Oak Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Western White Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Wetland Estuarine Emergent [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Wetland Estuarine Forested [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Wetland Palustrine Emergent [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: Wetland Palustrine Forested [Type],0.12,0,,,,,
,2002,,,,Ag Contraction Pasture: White/Red/Jack Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Expansion: Cropland [Type],0.12,0,,,,,
,2002,,,,Ag Expansion: Pasture [Type],0.12,0,,,,,
,2002,,,,Intensification: Low to High [Type],0.12,0,,,,,
,2002,,,,Intensification: Low to Medium [Type],0.12,0,,,,,
,2002,,,,Intensification: Medium to High [Type],0.12,0,,,,,
,2002,,,,Intensification: Open to High [Type],0.12,0,,,,,
,2002,,,,Intensification: Open to Low [Type],0.12,0,,,,,
,2002,,,,Intensification: Open to Medium [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Alder/Maple Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Aspen/Birch Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: California Mixed Conifer Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Coastal Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Inland Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Exotic Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Exotic Softwoods Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Lodgepole Pine Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Longleaf/Slash Pine Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Maple/Beech/Birch Group [Type],0.12,0,,,,,
