TransitionGroupID,StateClassID,StateAttributeTypeID,NeighborhoodRadius,UpdateFrequency
Ag Contraction Cropland: Alder/Maple Group [Type],Forest: Alder/Maple Group,,1500,20
Ag Contraction Cropland: Aspen/Birch Group [Type],Forest: Aspen/Birch Group,,1500,20
Ag Contraction Cropland: California Mixed Conifer Group [Type],Forest: California Mixed Conifer Group,,1500,20
Ag Contraction Cropland: Douglas-fir Coastal Group [Type],Forest: Douglas-fir Coastal Group,,1500,20
Ag Contraction Cropland: Douglas-fir Inland Group [Type],Forest: Douglas-fir Inland Group,,1500,20
Ag Contraction Cropland: Elm/Ash/Cottonwood Group [Type],Forest: Elm/Ash/Cottonwood Group,,1500,20
Ag Contraction Cropland: Exotic Hardwoods Group [Type],Forest: Exotic Hardwoods Group,,1500,20
Ag Contraction Cropland: Exotic Softwoods Group [Type],Forest: Exotic Softwoods Group,,1500,20
Ag Contraction Cropland: Fir/Spruce/Mountain Hemlock Group [Type],Forest: Fir/Spruce/Mountain Hemlock Group,,1500,20
Ag Contraction Cropland: Hemlock/Sitka Spruce Group [Type],Forest: Hemlock/Sitka Spruce Group,,1500,20
Ag Contraction Cropland: Loblolly/Shortleaf Pine Group [Type],Forest: Loblolly/Shortleaf Pine Group,,1500,20
Ag Contraction Cropland: Lodgepole Pine Group [Type],Forest: Lodgepole Pine Group,,1500,20
Ag Contraction Cropland: Longleaf/Slash Pine Group [Type],Forest: Longleaf/Slash Pine Group,,1500,20
Ag Contraction Cropland: Maple/Beech/Birch Group [Type],Forest: Maple/Beech/Birch Group,,1500,20
Ag Contraction Cropland: Oak/Gum/Cypress Group [Type],Forest: Oak/Gum/Cypress Group,,1500,20
Ag Contraction Cropland: Oak/Hickory Group [Type],Forest: Oak/Hickory Group,,1500,20
Ag Contraction Cropland: Oak/Pine Group [Type],Forest: Oak/Pine Group,,1500,20
Ag Contraction Cropland: Other Western Hardwoods Group [Type],Forest: Other Western Hardwoods Group,,1500,20
Ag Contraction Cropland: Other Western Softwood Group [Type],Forest: Other Western Softwood Group,,1500,20
Ag Contraction Cropland: Pinyon/Juniper Group [Type],Forest: Pinyon/Juniper Group,,1500,20
Ag Contraction Cropland: Ponderosa Pine Group [Type],Forest: Ponderosa Pine Group,,1500,20
Ag Contraction Cropland: Redwood Group [Type],Forest: Redwood Group,,1500,20
Ag Contraction Cropland: Spruce/Fir Group [Type],Forest: Spruce/Fir Group,,1500,20
