DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionRelativeFrequency
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,1,1,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,19,19,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,37,37,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,55,55,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,73,73,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,91,91,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,109,109,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,127,127,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,145,145,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,2,2,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,20,20,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,38,38,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,56,56,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,74,74,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,92,92,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,110,110,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,128,128,19.5013644,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,146,146,19.5013644,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,1,1,32.2195272,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,7,7,32.2195272,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,3,3,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,21,21,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,39,39,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,57,57,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,75,75,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,93,93,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,111,111,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,129,129,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,147,147,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,4,4,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,22,22,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,40,40,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,58,58,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,76,76,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,94,94,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,112,112,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,130,130,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,148,148,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,5,5,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,23,23,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,41,41,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,59,59,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,77,77,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,95,95,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,113,113,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,131,131,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,149,149,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,6,6,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,24,24,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,42,42,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,60,60,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,78,78,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,96,96,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,114,114,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,132,132,45.2672606,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,150,150,45.2672606,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,2,2,32.2037144,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,8,8,32.2037144,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,7,7,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,25,25,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,43,43,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,61,61,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,79,79,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,97,97,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,115,115,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,133,133,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,151,151,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,8,8,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,26,26,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,44,44,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,62,62,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,80,80,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,98,98,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,116,116,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,134,134,37.832671999999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,152,152,37.832671999999995,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,3,3,21.804703800000002,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,9,9,21.804703800000002,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,4,4,24.1776944,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,10,10,24.1776944,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,9,9,59.89478463999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,27,27,59.89478463999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,45,45,59.89478463999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,63,63,59.89478463999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,81,81,59.89478463999999,1
