DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionRelativeFrequency
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,13,13,46.4481864,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,1,1,19.5013644,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,1,1,32.2195272,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,2,2,215.59158276,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,14,14,39.84595,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,3,3,135.8578052,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,4,4,45.2672606,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,2,2,32.2037144,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,15,15,74.08757999999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,5,5,37.832671999999995,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,3,3,21.804703800000002,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,4,4,24.1776944,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,6,6,59.89478463999999,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,5,5,9.785250000000001,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,7,7,66.410123,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,16,16,166.18654400000003,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,8,8,35.8443842,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,9,9,442.0395,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Palustrine Emergent,6,6,78.47012880000001,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,10,10,209.36133071999998,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,11,11,98.69943696,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,17,17,32.4421904,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,18,18,202.07004935999998,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage,Site ID Wetland: Estuarine Emergent,12,12,266.78181759999995,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,13,13,120.79594585987263,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,1,1,225.56610191082805,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Palustrine Emergent,1,1,505.1845222929937,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,2,2,463.22545222929944,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,14,14,419.3215796178344,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,3,3,684.7753375796179,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,4,4,257.18847133757964,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Palustrine Emergent,2,2,491.5352208067941,1
