Site.ID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionRelativeFrequency
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,1,1,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,19,19,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,37,37,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,55,55,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,73,73,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,91,91,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,109,109,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,127,127,4234.39483683465,1
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,145,145,4234.39483683465,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,2,2,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,20,20,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,38,38,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,56,56,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,74,74,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,92,92,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,110,110,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,128,128,1536.4052450466243,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,146,146,1536.4052450466243,1
CRMS0211,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,1,1,2629.88736400034,1
CRMS0211,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,7,7,2629.88736400034,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,3,3,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,21,21,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,39,39,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,57,57,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,75,75,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,93,93,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,111,111,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,129,129,3103.2338949171976,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,147,147,3103.2338949171976,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,4,4,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,22,22,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,40,40,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,58,58,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,76,76,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,94,94,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,112,112,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,130,130,2526.9723562292997,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,148,148,2526.9723562292997,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,5,5,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,23,23,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,41,41,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,59,59,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,77,77,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,95,95,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,113,113,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,131,131,2371.320473834395,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,149,149,2371.320473834395,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,6,6,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,24,24,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,42,42,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,60,60,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,78,78,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,96,96,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,114,114,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,132,132,2712.401623130701,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,150,150,2712.401623130701,1
CRMS0273,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,2,2,3071.5742514343947,1
CRMS0273,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,8,8,3071.5742514343947,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,7,7,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,25,25,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,43,43,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,61,61,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,79,79,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,97,97,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,115,115,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,133,133,4045.342240922293,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,151,151,4045.342240922293,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,8,8,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,26,26,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,44,44,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,62,62,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,80,80,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,98,98,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,116,116,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,134,134,3901.351033681529,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,152,152,3901.351033681529,1
CRMS0327,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,3,3,2230.5394111643313,1
CRMS0327,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,9,9,2230.5394111643313,1
CRMS0331,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,4,4,1583.9048029119322,1
CRMS0331,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,10,10,1583.9048029119322,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,9,9,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,27,27,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,45,45,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,63,63,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,81,81,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,99,99,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,117,117,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,135,135,1620.5673791429301,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,153,153,1620.5673791429301,1
CRMS0367,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,5,5,3878.4544540351603,1
CRMS0367,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,11,11,3878.4544540351603,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,10,10,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,28,28,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,46,46,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,64,64,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,82,82,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,100,100,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,118,118,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,136,136,2055.161234282293,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,154,154,2055.161234282293,1
