Site.ID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionRelativeFrequency
BA-01-04,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,13,13,4234.39483683465,1
CRMS0175,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,1,1,1536.4052450466243,1
CRMS0211,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,1,1,2629.88736400034,1
CRMS0224,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,2,2,3103.2338949171976,1
CRMS0225,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,14,14,2526.9723562292997,1
CRMS0237,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,3,3,2371.320473834395,1
CRMS0253,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,4,4,2712.401623130701,1
CRMS0273,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,2,2,3071.5742514343947,1
CRMS0305,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,15,15,4045.342240922293,1
CRMS0309,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,5,5,3901.351033681529,1
CRMS0327,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,3,3,2230.5394111643313,1
CRMS0331,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,4,4,1583.9048029119322,1
CRMS0337,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,6,6,1620.5673791429301,1
CRMS0367,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,5,5,3878.4544540351603,1
CRMS0377,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,7,7,2055.161234282293,1
CRMS0398,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,16,16,1626.566723647049,1
CRMS0399,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,8,8,2143.3527411791083,1
CRMS2825,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,9,9,3526.240795219184,1
CRMS3166,Wetland: Palustrine Emergent Net Growth,Site ID Wetland: Palustrine Emergent,6,6,2795.0715479684077,1
CRMS3565,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,10,10,2282.6851947753717,1
CRMS3617,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,11,11,3141.889448989554,1
CRMS4045,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,17,17,2246.0765297277285,1
CRMS4245,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,18,18,1980.801387369172,1
CRMS4455,Wetland: Estuarine Emergent Net Growth,Site ID Wetland: Estuarine Emergent,12,12,3880.5179272244586,1
