StateClassID,StateAttributeTypeID,DistributionType
Wetland: Estuarine Emergent,Carbon Initial Conditions: Foliage,Wetland: Estuarine Emergent Carbon Initial Conditions: Foliage
Wetland: Palustrine Emergent,Carbon Initial Conditions: Foliage,Wetland: Palustrine Emergent Carbon Initial Conditions: Foliage
Wetland: Estuarine Emergent,Carbon Initial Conditions: Fine Roots,Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots
Wetland: Palustrine Emergent,Carbon Initial Conditions: Fine Roots,Wetland: Palustrine Emergent Carbon Initial Conditions: Fine Roots
Wetland: Estuarine Emergent,Carbon Initial Conditions: Aboveground Very Fast,Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast
Wetland: Palustrine Emergent,Carbon Initial Conditions: Aboveground Very Fast,Wetland: Palustrine Emergent Carbon Initial Conditions: Aboveground Very Fast
Wetland: Estuarine Emergent,Carbon Initial Conditions: Belowground Very Fast,Wetland: Estuarine Emergent Carbon Initial Conditions: Belowground Very Fast
Wetland: Palustrine Emergent,Carbon Initial Conditions: Belowground Very Fast,Wetland: Palustrine Emergent Carbon Initial Conditions: Belowground Very Fast
Wetland: Estuarine Emergent,Carbon Initial Conditions: Belowground Slow,Wetland: Estuarine Emergent Carbon Initial Conditions: Belowground Slow
Wetland: Palustrine Emergent,Carbon Initial Conditions: Belowground Slow,Wetland: Palustrine Emergent Carbon Initial Conditions: Belowground Slow
