Site.ID,Basin,Most Freq. Occ. Habitat from 1949 to 1978,# Cores Comb.,Uncorr-210Pb Accr. (cm  yr-1) old,Uncorr-210Pb Accr. (cm  yr-1)
BA-01-04,BA,Fresh,3,NA,NA
CRMS0175,BA,Saline,0,0.5,0.46
CRMS0211,BA,Fresh,3,NA,NA
CRMS0224,BA,Saline,3,0.4,0.36
CRMS0225,BA,Brackish,3,0.3,0.28
CRMS0237,BA,Saline,0,NA,NA
CRMS0253,BA,Brackish,3,0.6,0.64
CRMS0273,BA,Fresh,3,NA,NA
CRMS0305,TE,Intermediate,0,0.36,0.4
CRMS0309,TE,Brackish,0,0.8,0.81
CRMS0327,TE,Fresh,3,NA,NA
CRMS0331,TE,Fresh,3,NA,NA
CRMS0337,TE,Saline,0,0.5,0.46
CRMS0367,TE,Fresh,3,NA,NA
CRMS0377,TE,Saline,0,0.2,0.18
CRMS0398,TE,Brackish,3,0.8,0.8
CRMS0399,TE,Brackish,3,0.8,0.79
CRMS2825,TE,Fresh,3,NA,NA
CRMS3166,BA,Fresh,3,0.3,0.32
CRMS3565,BA,Brackish,3,0.7,0.69
CRMS3617,BA,Brackish,3,0.5,0.52
CRMS4045,TE,Brackish,3,0.3,0.5
CRMS4245,BA,Brackish,3,0.5,0.54
CRMS4455,TE,Saline,0,0.8,0.79
