estuary,plot,bd,moist,som
Grand_Bay,1,1.43,23.48,1.80
Grand_Bay,2,1.11,31.89,2.71
Grand_Bay,3,1.00,36.15,2.95
Grand_Bay,4,0.87,40.01,3.30
Grand_Bay,5,0.86,42.32,4.11
Grand_Bay,6,0.86,43.48,5.20
Grand_Bay,7,0.33,71.66,19.24
Grand_Bay,8,0.29,75.42,24.39
Grand_Bay,9,0.66,50.93,6.61
Grand_Bay,10,0.51,58.04,8.21
Grand_Bay,11,0.47,61.35,12.50
Grand_Bay,12,0.47,60.97,11.15
Grand_Bay,13,0.46,61.24,12.28
Grand_Bay,14,0.37,65.77,14.83
Grand_Bay,15,0.45,64.45,14.66
Grand_Bay,16,0.69,51.57,5.70
Grand_Bay,17,0.59,55.64,8.12
Grand_Bay,18,0.42,63.36,16.67
Grand_Bay,19,0.43,64.20,12.76
Grand_Bay,20,0.46,63.07,13.00
Grand_Bay,21,0.29,73.50,26.67
Grand_Bay,22,0.40,66.20,14.81
Grand_Bay,23,0.67,50.36,7.00
Grand_Bay,24,0.46,60.36,9.84
Grand_Bay,25,0.37,61.99,12.00
Grand_Bay,26,0.72,47.17,7.25
Grand_Bay,27,0.75,44.97,9.09
Grand_Bay,28,0.74,47.67,7.00
Grand_Bay,29,0.86,41.65,6.16
Grand_Bay,30,1.28,25.80,1.92
Grand_Bay,31,1.42,22.97,0.98
Grand_Bay,32,1.34,22.81,1.46
Grand_Bay,33,1.41,22.89,2.96
Grand_Bay,34,1.41,23.49,1.52
Grand_Bay,35,1.56,22.71,2.59
Grand_Bay,36,1.64,16.59,1.57
Grand_Bay,37,1.30,23.43,2.07
Grand_Bay,38,1.22,28.09,2.50
Grand_Bay,39,0.76,45.51,9.41
Grand_Bay,40,0.95,38.93,5.82
Grand_Bay,41,1.20,31.09,3.47
Grand_Bay,42,0.98,38.84,4.04
Grand_Bay,43,0.83,45.87,5.53
Grand_Bay,44,0.42,62.88,11.98
Grand_Bay,45,0.40,62.60,11.37
Grand_Bay,46,1.03,35.49,4.62
Grand_Bay,47,1.00,37.61,4.50
Grand_Bay,48,0.99,38.49,4.95
Grand_Bay,49,0.93,37.11,4.17
Grand_Bay,50,0.91,39.13,4.66
Grand_Bay,51,0.79,42.03,4.98
Grand_Bay,52,0.86,40.62,5.29
Grand_Bay,53,0.97,37.13,4.95
Grand_Bay,54,0.98,36.71,3.98
Grand_Bay,55,0.89,39.70,4.74
Grand_Bay,56,0.78,43.31,8.08
Grand_Bay,57,0.61,43.15,10.05
Grand_Bay,58,0.54,56.90,8.67
Grand_Bay,59,0.44,62.69,13.27
Grand_Bay,60,0.34,69.91,16.67
Grand_Bay,61,0.30,72.40,21.65
Grand_Bay,62,0.35,68.17,14.36
Grand_Bay,63,0.40,67.88,16.67
Grand_Bay,64,0.36,67.03,16.24
Grand_Bay,65,0.99,33.96,2.99
Grand_Bay,66,1.35,22.44,2.03
Grand_Bay,67,1.03,30.40,4.17
Grand_Bay,68,0.91,31.52,4.48
Grand_Bay,69,0.79,36.46,6.77
Grand_Bay,70,1.08,22.01,2.91
Grand_Bay,71,0.25,76.05,28.34
Grand_Bay,72,0.35,70.21,16.33
Grand_Bay,73,0.35,69.41,18.32
Grand_Bay,74,0.55,58.93,11.11
Grand_Bay,75,0.39,67.28,16.84
Grand_Bay,76,0.87,41.08,6.77
Grand_Bay,77,1.40,24.28,2.01
Grand_Bay,78,1.35,24.13,2.45
Grand_Bay,79,1.32,24.74,2.53
Grand_Bay,80,1.54,17.37,1.51
Grand_Bay,81,1.62,16.90,1.53
Grand_Bay,82,1.37,20.93,2.55
Grand_Bay,83,1.20,25.51,4.55
Grand_Bay,84,1.02,33.68,6.50
Grand_Bay,85,0.85,39.34,7.11
Grand_Bay,86,1.06,33.94,6.06
Grand_Bay,87,0.89,38.91,7.66
Grand_Bay,88,1.12,31.96,4.95
Grand_Bay,89,0.46,61.68,16.43
Grand_Bay,90,0.22,78.59,36.79
Mission_Aransas_Bay,1,1.39,20.39,0.48
Mission_Aransas_Bay,2,1.50,21.45,0.51
Mission_Aransas_Bay,3,1.34,20.96,0.50
Mission_Aransas_Bay,4,1.01,34.96,2.60
Mission_Aransas_Bay,5,0.73,46.01,5.45
Mission_Aransas_Bay,6,0.59,53.74,9.60
Mission_Aransas_Bay,7,0.62,51.63,8.50
Mission_Aransas_Bay,8,1.09,30.84,2.53
Mission_Aransas_Bay,9,1.11,32.89,2.58
Mission_Aransas_Bay,10,0.92,42.32,5.08
Mission_Aransas_Bay,11,0.91,39.92,4.06
Mission_Aransas_Bay,12,1.05,33.61,2.59
Mission_Aransas_Bay,13,1.02,34.64,2.96
Mission_Aransas_Bay,14,1.11,31.59,3.13
Mission_Aransas_Bay,15,1.27,25.04,1.49
Mission_Aransas_Bay,16,1.22,25.03,1.01
Mission_Aransas_Bay,17,1.18,27.27,1.99
Mission_Aransas_Bay,18,1.16,27.98,2.56
Mission_Aransas_Bay,19,0.89,37.85,4.04
Mission_Aransas_Bay,20,1.19,30.36,2.55
Mission_Aransas_Bay,21,1.13,31.28,3.19
Mission_Aransas_Bay,22,1.10,34.54,3.45
Mission_Aransas_Bay,23,1.20,25.72,1.50
Mission_Aransas_Bay,24,1.03,31.39,2.03
Mission_Aransas_Bay,25,1.00,34.51,3.06
Mission_Aransas_Bay,26,0.92,38.56,4.52
Mission_Aransas_Bay,27,0.91,37.27,4.17
Mission_Aransas_Bay,28,1.12,29.15,1.51
Mission_Aransas_Bay,29,0.72,45.22,4.00
Mission_Aransas_Bay,30,0.97,36.74,3.45
Mission_Aransas_Bay,31,0.91,37.11,4.71
Mission_Aransas_Bay,32,0.94,37.17,3.94
Mission_Aransas_Bay,33,0.54,48.15,5.10
Mission_Aransas_Bay,34,0.43,60.11,8.95
Mission_Aransas_Bay,35,0.60,55.48,9.42
Mission_Aransas_Bay,36,0.59,55.59,11.33
Mission_Aransas_Bay,37,0.57,53.46,10.89
Mission_Aransas_Bay,38,0.83,43.74,4.48
Mission_Aransas_Bay,39,1.02,34.61,2.55
Mission_Aransas_Bay,40,1.00,37.90,3.57
Mission_Aransas_Bay,41,0.92,39.49,3.65
Mission_Aransas_Bay,42,0.95,36.16,5.05
Mission_Aransas_Bay,43,0.86,41.48,5.03
Mission_Aransas_Bay,44,0.81,40.59,4.50
Mission_Aransas_Bay,45,0.78,41.99,4.66
Mission_Aransas_Bay,46,0.69,50.92,7.32
Mission_Aransas_Bay,47,0.55,55.54,9.31
Mission_Aransas_Bay,48,0.51,58.44,10.88
Mission_Aransas_Bay,49,0.46,59.74,11.40
Mission_Aransas_Bay,50,0.51,58.81,10.58
Mission_Aransas_Bay,51,0.47,58.69,9.50
Mission_Aransas_Bay,52,0.56,55.74,9.60
Mission_Aransas_Bay,53,0.80,40.39,6.63
Mission_Aransas_Bay,54,0.77,39.48,6.40
Mission_Aransas_Bay,55,0.78,43.69,7.28
Mission_Aransas_Bay,56,1.01,33.69,5.97
Mission_Aransas_Bay,57,1.23,29.84,5.37
Mission_Aransas_Bay,58,1.29,25.21,4.69
Mission_Aransas_Bay,59,1.20,26.65,4.43
Mission_Aransas_Bay,60,1.23,25.19,4.41
Mission_Aransas_Bay,61,1.26,25.94,5.18
Mission_Aransas_Bay,62,1.11,29.79,6.53
Mission_Aransas_Bay,63,1.05,23.79,5.97
Mission_Aransas_Bay,64,0.83,20.44,8.54
Mission_Aransas_Bay,65,1.12,12.34,6.86
Mission_Aransas_Bay,66,0.72,49.93,5.79
Mission_Aransas_Bay,67,0.57,50.63,7.89
Mission_Aransas_Bay,68,0.54,54.92,9.18
Mission_Aransas_Bay,69,0.62,48.93,8.67
Mission_Aransas_Bay,70,0.63,49.65,9.41
Mission_Aransas_Bay,71,0.77,46.15,7.58
Mission_Aransas_Bay,72,0.88,39.13,5.64
Mission_Aransas_Bay,73,1.10,27.06,4.48
Mission_Aransas_Bay,74,1.52,19.61,3.92
Mission_Aransas_Bay,75,1.50,18.30,4.48
Mission_Aransas_Bay,76,1.50,18.20,4.50
Mission_Aransas_Bay,77,1.38,18.16,5.56
Mission_Aransas_Bay,78,1.49,19.41,4.69
Mission_Aransas_Bay,79,0.52,58.64,7.53
Mission_Aransas_Bay,80,0.60,54.69,7.50
Mission_Aransas_Bay,81,0.57,53.65,7.88
Mission_Aransas_Bay,82,0.59,49.09,8.37
Mission_Aransas_Bay,83,0.61,49.67,9.23
Mission_Aransas_Bay,84,0.71,49.99,9.84
