Site ID,Basin ID,Wetland Type,Plot,Sampling Event,Bag ID,Mass Remaining (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,1,T1,266,77.35982801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,2,T1,271,79.10069615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,3,T1,274,78.01265356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,1,T1,132,79.34499498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,2,T1,138,85.63621331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,3,T1,142,81.7559066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,1,T1,277,87.1175891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,2,T1,281,88.69167638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,3,T1,284,83.75229905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,1,T1,195,81.93559226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,2,T1,198,85.63314351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,3,T1,202,87.50871298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,1,T1,252,85.35694103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,2,T1,258,79.15509828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,3,T1,263,74.42211302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,1,T1,218,81.12143928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,2,T1,222,82.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,3,T1,224,81.76911544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,1,T1,146,80.51725032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,2,T1,150,79.23726247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,3,T1,154,80.43604861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,1,T1,50,58.11805531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,2,T1,53,59.81433418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,3,T1,56,63.25570683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,1,T1,62,87.09318316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,2,T1,67,89.94305894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,3,T1,68,88.00746007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,1,T1,1,79.44642438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,2,T1,7,78.3971716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,3,T1,10,85.81970962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,1,T1,14,81.65516347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,2,T1,20,80.17874648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,3,T1,21,78.2086113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,1,T1,99,85.27755267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,2,T1,102,85.09217914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,3,T1,104,83.08539192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,1,T1,26,86.66208543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,2,T1,32,83.43444724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,3,T1,34,86.24240643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,1,T1,122,83.9858546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,2,T1,125,83.78389152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,3,T1,130,81.55794165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,1,T1,206,87.72306378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,2,T1,208,79.30979499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,3,T1,212,79.95284738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,1,T1,75,86.80474291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,2,T1,76,86.41846986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,3,T1,81,84.75347759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,1,T1,86,80.22985115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,2,T1,90,82.53901018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,3,T1,93,87.91793795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,1,T1,159,77.56062139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,2,T1,163,85.83399031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,3,T1,167,83.95414206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,1,T1,228,85.68021783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,2,T1,235,89.12176949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,3,T1,238,88.63623927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,1,T1,242,88.65843558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,2,T1,244,89.03570552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,3,T1,248,88.28116564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,1,T1,288,61.50770803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,2,T1,43,54.51298796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
