River ID,Site ID,Microtopography,Depth,Replicate,Sampling Event,Percent Mass Remaining
1,1,O,10,1,T1,85.15594505
1,1,O,25,1,T1,90.13681731
1,1,O,50,1,T1,76.92386913
1,1,O,10,2,T1,91.16821372
1,1,O,25,2,T1,88.70462174
1,1,O,50,2,T1,75.71284389
1,1,U,10,1,T1,90.42841414
1,1,U,25,1,T1,84.96746307
1,1,U,50,1,T1,83.54683271
1,1,U,10,2,T1,84.40296989
1,1,U,25,2,T1,82.01347047
1,1,U,50,2,T1,78.48256297
1,2,NA,10,1,T1,94.68621806
1,2,NA,25,1,T1,82.28776067
1,2,NA,50,1,T1,96.44650208
1,2,NA,10,2,T1,98.72441234
1,2,NA,25,2,T1,83.78812471
1,2,NA,50,2,T1,98.63502075
1,3,NA,10,1,T1,82.43837495
1,3,NA,25,1,T1,66.80220172
1,3,NA,50,1,T1,99.11810101
1,3,NA,10,2,T1,78.79128309
1,3,NA,25,2,T1,81.58334284
1,3,NA,50,2,T1,84.51529892
1,4,NA,10,1,T1,99.57897309
1,4,NA,25,1,T1,98.41027436
1,4,NA,50,1,T1,94.73878816
1,4,NA,10,2,T1,96.54098543
1,4,NA,25,2,T1,95.12935103
1,4,NA,50,2,T1,90.18673903
2,1,O,10,1,T1,75.99674136
2,1,O,25,1,T1,90.22356859
2,1,O,50,1,T1,93.7503339
2,1,O,10,2,T1,90.67548928
2,1,O,25,2,T1,93.64744115
2,1,O,50,2,T1,92.55995429
2,1,U,10,1,T1,86.00496898
2,1,U,25,1,T1,87.34355449
2,1,U,50,1,T1,92.16501667
2,1,U,10,2,T1,85.29725482
2,1,U,25,2,T1,78.04304544
2,1,U,50,2,T1,84.60087042
2,2,NA,10,1,T1,83.53693666
2,2,NA,25,1,T1,85.6439473
2,2,NA,50,1,T1,69.89305997
2,2,NA,10,2,T1,84.35409409
2,2,NA,25,2,T1,81.74727016
2,2,NA,50,2,T1,77.22546177
2,3,NA,10,1,T1,86.20698068
2,3,NA,25,1,T1,94.07093599
2,3,NA,50,1,T1,92.7827068
2,3,NA,10,2,T1,91.51993218
2,3,NA,25,2,T1,89.64962505
2,3,NA,50,2,T1,92.32195459
2,4,NA,10,1,T1,96.19793525
2,4,NA,25,1,T1,98.2848201
2,4,NA,50,1,T1,100
2,4,NA,10,2,T1,100
2,4,NA,25,2,T1,95.83452745
2,4,NA,50,2,T1,96.64917618
1,1,O,10,1,T2,86.43634605
1,1,O,25,1,T2,71.3517567
1,1,O,50,1,T2,82.45183101
1,1,O,10,2,T2,85.9707891
1,1,O,25,2,T2,81.86908927
1,1,O,50,2,T2,75.25962131
1,1,U,10,1,T2,88.28425417
1,1,U,25,1,T2,85.91885442
1,1,U,50,1,T2,81.57615599
1,1,U,10,2,T2,83.94822985
1,1,U,25,2,T2,68.46098858
1,1,U,50,2,T2,80.24491154
1,2,NA,10,1,T2,83.88808932
1,2,NA,25,1,T2,77.55728474
1,2,NA,50,1,T2,93.19272002
1,2,NA,10,2,T2,76.81294813
1,2,NA,25,2,T2,77.43802036
1,2,NA,50,2,T2,91.99386809
1,3,NA,10,1,T2,91.64684314
1,3,NA,25,1,T2,100
1,3,NA,50,1,T2,77.05741798
1,3,NA,10,2,T2,99.28222874
1,3,NA,25,2,T2,75.97156025
1,3,NA,50,2,T2,81.37983085
1,4,NA,10,1,T2,94.99909472
1,4,NA,25,1,T2,95.3304545
1,4,NA,50,1,T2,67.2422611
1,4,NA,10,2,T2,93.17035309
1,4,NA,25,2,T2,93.29592478
1,4,NA,50,2,T2,89.67187341
2,1,O,10,1,T2,85.26355315
2,1,O,25,1,T2,93.40105625
2,1,O,50,1,T2,88.62015495
2,1,O,10,2,T2,90.38461049
2,1,O,25,2,T2,90.0014003
2,1,O,50,2,T2,92.17315271
2,1,U,10,1,T2,86.36705161
2,1,U,25,1,T2,81.61229196
2,1,U,50,1,T2,82.38971664
2,1,U,10,2,T2,76.62653276
2,1,U,25,2,T2,64.54304433
2,1,U,50,2,T2,84.73067384
2,2,NA,10,1,T2,83.65730211
2,2,NA,25,1,T2,74.31489541
2,2,NA,50,1,T2,71.17304576
2,2,NA,10,2,T2,77.75348273
2,2,NA,25,2,T2,74.77013437
2,2,NA,50,2,T2,79.66546677
2,3,NA,10,1,T2,90.03516227
2,3,NA,25,1,T2,92.83772595
2,3,NA,50,1,T2,86.11782298
2,3,NA,10,2,T2,88.901181
2,3,NA,25,2,T2,90.89913998
2,3,NA,50,2,T2,100
2,4,NA,10,1,T2,.
2,4,NA,25,1,T2,.
2,4,NA,50,1,T2,.
2,4,NA,10,2,T2,.
2,4,NA,25,2,T2,.
2,4,NA,50,2,T2,.
1,1,O,10,1,T3,87.64219639
1,1,O,25,1,T3,66.16628864
1,1,O,50,1,T3,52.8796736
1,1,O,10,2,T3,86.01116739
1,1,O,25,2,T3,39.5211332
1,1,O,50,2,T3,70.33111967
1,1,U,10,1,T3,85.80851381
1,1,U,25,1,T3,82.55057626
1,1,U,50,1,T3,75.16563861
