"Pool","Status","Site.ID","Wetland Subclass LUCAS","nSite","mean","min","max"
"above","dead","BA-01-04","Palustrine Herbaceous",3,44.71,44.34,44.93
"above","dead","CRMS0175","Estuarine Herbaceous",4,38.46,33.88,43.56
"above","dead","CRMS0211","Palustrine Herbaceous",4,42.24,40.81,43.2
"above","dead","CRMS0224","Estuarine Herbaceous",4,43.81,42.7,44.43
"above","dead","CRMS0225","Palustrine Herbaceous",4,42.73,41.27,44.07
"above","dead","CRMS0237","Estuarine Herbaceous",4,42.28,41.1,43.44
"above","dead","CRMS0253","Estuarine Herbaceous",4,43.1,41.88,43.65
"above","dead","CRMS0273","Palustrine Herbaceous",3,43.75,42.54,44.3
"above","dead","CRMS0305","Palustrine Herbaceous",3,40.26,38.59,42.34
"above","dead","CRMS0309","Estuarine Herbaceous",4,41.79,37.65,44.77
"above","dead","CRMS0327","Palustrine Herbaceous",4,43.02,42.7,43.69
"above","dead","CRMS0331","Palustrine Herbaceous",4,43.43,42.35,45.27
"above","dead","CRMS0337","Estuarine Herbaceous",4,36.46,35.47,37.93
"above","dead","CRMS0367","Palustrine Herbaceous",4,43.35,42.66,44.89
"above","dead","CRMS0377","Estuarine Herbaceous",4,37.92,36,39.77
"above","dead","CRMS0398","Palustrine Herbaceous",4,43.01,39.8,44.81
"above","dead","CRMS0399","Estuarine Herbaceous",4,42.54,41.05,43.37
"above","dead","CRMS2825","Estuarine Herbaceous",4,44.74,43.37,46.01
"above","dead","CRMS3166","Palustrine Herbaceous",4,40.29,33.95,43.29
"above","dead","CRMS3565","Estuarine Herbaceous",4,42.35,40.47,45.55
"above","dead","CRMS3617","Estuarine Herbaceous",4,43.69,42.96,44.23
"above","dead","CRMS4045","Palustrine Herbaceous",3,41.77,41.61,41.97
"above","dead","CRMS4245","Palustrine Herbaceous",4,43.31,39.81,45.71
"above","dead","CRMS4455","Estuarine Herbaceous",4,44.5,43.73,45.2
"above","live","BA-01-04","Palustrine Herbaceous",5,41.58,39.53,44.77
"above","live","CRMS0175","Estuarine Herbaceous",4,41.42,40.11,42.7
"above","live","CRMS0211","Palustrine Herbaceous",4,42.98,42.46,44.1
"above","live","CRMS0224","Estuarine Herbaceous",4,42.99,41.91,44.61
"above","live","CRMS0225","Palustrine Herbaceous",4,43.1,42.52,43.71
"above","live","CRMS0237","Estuarine Herbaceous",4,41.99,41.01,43.74
"above","live","CRMS0253","Estuarine Herbaceous",4,42.37,41.69,42.9
"above","live","CRMS0273","Palustrine Herbaceous",4,42.38,39.24,44.59
"above","live","CRMS0305","Palustrine Herbaceous",4,41.9,39.38,44.23
"above","live","CRMS0309","Estuarine Herbaceous",3,42.4,40.13,44.19
"above","live","CRMS0327","Palustrine Herbaceous",4,41.69,40.98,42.56
"above","live","CRMS0331","Palustrine Herbaceous",4,42.92,42.15,44.69
"above","live","CRMS0337","Estuarine Herbaceous",4,40.16,39.42,40.54
"above","live","CRMS0367","Palustrine Herbaceous",4,43.49,43.07,44.12
"above","live","CRMS0377","Estuarine Herbaceous",4,41.77,41.17,42.17
"above","live","CRMS0398","Palustrine Herbaceous",4,43.28,42.31,44.58
"above","live","CRMS0399","Estuarine Herbaceous",4,42.61,41.37,43.9
"above","live","CRMS2825","Estuarine Herbaceous",4,45,44.51,45.69
"above","live","CRMS3166","Palustrine Herbaceous",4,40.74,39.81,41.64
"above","live","CRMS3565","Estuarine Herbaceous",4,44.28,43.52,45.26
"above","live","CRMS3617","Estuarine Herbaceous",4,43.63,43.04,43.87
"above","live","CRMS4045","Palustrine Herbaceous",3,40.06,39.87,40.42
"above","live","CRMS4245","Palustrine Herbaceous",4,41.01,38.95,44.05
"above","live","CRMS4455","Estuarine Herbaceous",4,43.46,42.85,44.22
"below","dead","BA-01-04","Palustrine Herbaceous",4,45.93,44.49,46.74
"below","dead","CRMS0175","Estuarine Herbaceous",4,42.7,41.52,44.7
"below","dead","CRMS0211","Palustrine Herbaceous",4,45.52,44.78,45.96
"below","dead","CRMS0224","Estuarine Herbaceous",3,44.6,42.14,46.22
"below","dead","CRMS0225","Palustrine Herbaceous",4,43.91,40.06,46.92
"below","dead","CRMS0237","Estuarine Herbaceous",4,38.85,28.18,44.13
"below","dead","CRMS0253","Estuarine Herbaceous",4,44.1,43.28,45.34
"below","dead","CRMS0273","Palustrine Herbaceous",4,45.35,42.65,46.5
"below","dead","CRMS0305","Palustrine Herbaceous",3,39.65,36.24,44.98
"below","dead","CRMS0309","Estuarine Herbaceous",4,35.15,23.21,45.22
"below","dead","CRMS0327","Palustrine Herbaceous",4,44.58,43.44,45.73
"below","dead","CRMS0331","Palustrine Herbaceous",4,41.31,25.18,48
"below","dead","CRMS0337","Estuarine Herbaceous",4,40.88,35.49,43.98
"below","dead","CRMS0367","Palustrine Herbaceous",4,45.92,42.71,47.92
"below","dead","CRMS0377","Estuarine Herbaceous",4,38.78,34.09,40.76
"below","dead","CRMS0398","Palustrine Herbaceous",4,44.82,43.42,45.44
"below","dead","CRMS0399","Estuarine Herbaceous",4,38.92,33.21,43.14
"below","dead","CRMS2825","Estuarine Herbaceous",3,45.64,45.04,46.25
"below","dead","CRMS3166","Palustrine Herbaceous",4,41.84,40.17,44.87
"below","dead","CRMS3565","Estuarine Herbaceous",4,45.27,42.05,47.2
"below","dead","CRMS3617","Estuarine Herbaceous",4,45.78,43.32,47.8
"below","dead","CRMS4045","Palustrine Herbaceous",3,42.35,34.3,45.11
"below","dead","CRMS4245","Palustrine Herbaceous",4,39.48,26.83,45.57
