Site ID,Basin ID,Wetland Type,Plot,Sampling Event,Bag ID,Mass Remaining (%),,,,,
175,2,4,1,T1,553,97.10057397,,,,,
175,2,4,2,T1,556,89.7967239,,,,,
175,2,4,3,T1,560,87.76313948,,,,,
211,2,1,1,T1,420,91.87116862,,,,,
211,2,1,2,T1,427,87.96370005,,,,,
211,2,1,3,T1,429,85.52972607,,,,,
224,2,4,1,T1,567,96.96506679,,,,,
224,2,4,2,T1,571,81.39627448,,,,,
224,2,4,3,T1,574,93.5925126,,,,,
225,2,2,1,T1,481,96.88479492,,,,,
225,2,2,2,T1,486,88.15394106,,,,,
225,2,2,3,T1,489,79.94736632,,,,,
237,2,4,1,T1,541,97.96369018,,,,,
237,2,4,2,T1,547,89.15777742,,,,,
237,2,4,3,T1,549,77.35555644,,,,,
253,2,3,1,T1,507,85.76021463,,,,,
253,2,3,2,T1,508,84.07341622,,,,,
253,2,3,3,T1,512,84.56448292,,,,,
273,2,1,1,T1,434,100,,,,,
273,2,1,2,T1,437,91.01978083,,,,,
273,2,1,3,T1,441,88.52027593,,,,,
305,1,2,1,T1,337,91.27453953,,,,,
305,1,2,2,T1,342,82.78112749,,,,,
305,1,2,3,T1,346,82.19342453,,,,,
309,1,3,1,T1,351,100,,,,,
309,1,3,2,T1,354,92.13380296,,,,,
309,1,3,3,T1,358,95.99232061,,,,,
327,1,1,1,T1,292,100,,,,,
327,1,1,2,T1,294,82.49848374,,,,,
327,1,1,3,T1,297,87.80454532,,,,,
331,1,1,1,T1,303,84.54179653,,,,,
331,1,1,2,T1,305,97.64200854,,,,,
331,1,1,3,T1,312,89.86325575,,,,,
337,1,4,1,T1,387,89.6388173,,,,,
337,1,4,2,T1,390,88.94991344,,,,,
337,1,4,3,T1,395,86.57575879,,,,,
367,1,1,1,T1,314,87.70401332,,,,,
367,1,1,2,T1,319,87.21023669,,,,,
367,1,1,3,T1,322,88.19970442,,,,,
377,1,4,1,T1,409,87.82207468,,,,,
377,1,4,2,T1,412,95.52003158,,,,,
377,1,4,3,T1,416,83.96473481,,,,,
398,1,2,1,T1,495,100,,,,,
398,1,2,2,T1,499,85.1775195,,,,,
398,1,2,3,T1,502,100,,,,,
399,1,3,1,T1,362,100,,,,,
399,1,3,2,T1,366,85.56703082,,,,,
399,1,3,3,T1,369,87.32405598,,,,,
2825,1,3,1,T1,375,97.61150057,,,,,
2825,1,3,2,T1,378,85.36803773,,,,,
2825,1,3,3,T1,383,85.57603871,,,,,
3166,2,1,1,T1,446,97.63096448,,,,,
3166,2,1,2,T1,451,83.58541633,,,,,
3166,2,1,3,T1,455,82.57687847,,,,,
3565,2,3,1,T1,516,87.11548459,,,,,
3565,2,3,2,T1,521,76.64823649,,,,,
3565,2,3,3,T1,526,92.9925606,,,,,
3617,2,3,1,T1,529,96.45323681,,,,,
3617,2,3,2,T1,532,88.2178804,,,,,
3617,2,3,3,T1,538,89.19286457,,,,,
4045,1,2,1,T1,327,78.44960501,,,,,
4045,1,2,2,T1,330,69.44859013,,,,,
4045,1,2,3,T1,333,73.36815663,,,,,
4245,2,2,1,T1,469,.,,,,,
4245,2,2,2,T1,475,93.93408693,,,,,
4245,2,2,3,T1,478,80.79353652,,,,,
4455,1,4,1,T1,398,90.51877501,,,,,
4455,1,4,2,T1,401,93.81424779,,,,,
4455,1,4,3,T1,407,86.37581477,,,,,
BA0104,2,2,1,T1,456,78.90112128,,,,,
BA0104,2,2,2,T1,460,69.074403,,,,,
BA0104,2,2,3,T1,467,63.18230895,,,,,
175,2,4,1,T2,554,99.63530878,,,,,
175,2,4,2,T2,559,92.60070053,,,,,
175,2,4,3,T2,563,88.0353501,,,,,
211,2,1,1,T2,422,83.25572092,,,,,
211,2,1,2,T2,425,80.50060879,,,,,
211,2,1,3,T2,430,78.2537397,,,,,
224,2,4,1,T2,565,92.63394757,,,,,
