Site,Basin,Marsh_Type,Core_Increment,Moisture,Bulk_Density,Organic_Matter
211,BA,1,1,51.12,0.14,54.1
211,BA,1,2,62.94,0.17,49.82
211,BA,1,3,59.57,0.15,49.28
211,BA,1,5,61.44,0.15,59.48
273,BA,1,1,29.6,0.11,.
273,BA,1,2,39.2,0.12,59.6
273,BA,1,3,58.38,0.13,86.59
273,BA,1,5,58.43,0.13,83.16
327,BA,1,1,45.21,0.13,84.06
327,BA,1,3,52.86,0.13,72.53
327,BA,1,5,60.01,0.15,55.28
331,TE,1,1,73.94,0.15,86.67
331,TE,1,2,44.68,0.14,87.86
331,TE,1,3,78.53,0.16,86.9
331,TE,1,5,76.71,0.15,84.28
367,TE,1,1,49.48,0.13,88.42
367,TE,1,2,55.47,0.13,85.33
367,TE,1,3,58.67,0.13,84.08
367,TE,1,5,42.52,0.12,84.36
3166,BA,1,1,66.05,0.15,67.8
3166,BA,1,2,65.65,0.15,60.82
3166,BA,1,3,64.34,0.15,65.55
3166,BA,1,5,68.19,0.16,68.43
225,BA,2,1,54.84,0.18,41.9
225,BA,2,2,63.37,0.2,37.68
225,BA,2,3,65.48,0.18,45.03
225,BA,2,5,65.84,0.3,28.71
305,TE,2,1,65.05,0.25,20.45
305,TE,2,2,67.36,0.25,21.04
305,TE,2,3,64.7,0.31,14.28
305,TE,2,5,66.36,0.35,13.93
398,TE,2,1,62.42,0.22,39.11
398,TE,2,2,62.27,0.24,27.7
398,TE,2,3,63.49,0.22,26.91
398,TE,2,5,66.46,0.25,26.8
4045,TE,2,1,61.07,0.18,34.41
4045,TE,2,2,67.63,0.18,38.24
4045,TE,2,3,74.54,0.15,58.7
4245,BA,2,1,69.81,0.2,50.13
4245,BA,2,2,69.61,0.19,25.27
4245,BA,2,3,72.75,0.24,35
4245,BA,2,5,70.41,0.18,35.38
BA-01-04,BA,2,1,79.69,0.18,21.24
BA-01-04,BA,2,2,81.09,0.2,85.82
BA-01-04,BA,2,3,76.67,0.17,86.51
BA-01-04,BA,2,5,79.11,0.16,91.26
253,BA,3,1,64.93,0.18,31.44
253,BA,3,2,53.17,0.15,35.89
253,BA,3,3,59.36,0.15,35.11
253,BA,3,5,69.15,0.21,34.82
309,TE,3,1,65.48,0.31,21.11
309,TE,3,2,66.66,0.39,19.19
309,TE,3,3,71.01,0.34,21.54
309,TE,3,5,65.79,0.33,16.66
399,TE,3,1,46.84,0.14,49.15
399,TE,3,2,40.44,0.13,46.5
399,TE,3,3,48.34,0.14,53.68
399,TE,3,5,64.81,0.18,42.74
2825,TE,3,1,63.18,0.17,49.37
2825,TE,3,2,68.29,0.18,42.86
2825,TE,3,3,73.51,0.2,44.21
2825,TE,3,5,76.19,0.2,49.36
3565,BA,3,1,50.5,0.19,32.53
3565,BA,3,2,38.18,0.14,40.5
3565,BA,3,3,56.78,0.18,34.64
3565,BA,3,5,60.01,0.34,18.96
3617,BA,3,1,47.98,0.16,33.69
3617,BA,3,2,48.23,0.16,27.22
3617,BA,3,3,69.79,0.26,37.6
3617,BA,3,5,65.56,0.17,69.06
175,BA,4,1,58.03,0.27,17.97
175,BA,4,2,61.52,0.37,17.54
175,BA,4,3,60.18,0.4,15.22
175,BA,4,5,72.94,0.3,29.31
224,BA,4,1,63.91,0.3,26.11
224,BA,4,2,61.91,0.32,22.32
224,BA,4,3,59.46,0.29,20.84
224,BA,4,5,66.46,0.32,29.73
237,BA,4,1,38.61,0.54,6.77
237,BA,4,2,52.3,0.68,13.2
237,BA,4,3,57.81,0.35,18.02
237,BA,4,5,54.99,0.49,31.08
337,TE,4,1,58.23,0.42,16.03
337,TE,4,2,61.41,0.51,14.76
337,TE,4,3,59.96,0.43,15.13
337,TE,4,5,49.77,0.57,8.25
377,TE,4,1,64.01,0.35,20.51
377,TE,4,2,64.39,0.33,17.7
377,TE,4,3,68.66,0.5,21.23
377,TE,4,5,67.34,0.39,17.94
4455,TE,4,1,61.32,0.24,29.1
4455,TE,4,2,57.92,0.23,32.76
4455,TE,4,3,47.91,0.18,24.91
4455,TE,4,5,53.76,0.22,25.28
