Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Agriculture:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,,Agriculture:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
,,,,,Agriculture:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.3205,,,,,
,,,,,Agriculture:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,,,,Agriculture:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.15,,,,,
,,,,,Agriculture:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Agriculture:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Agriculture:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Agriculture:All,,,Decay: AG Fast -> AG Slow [Type],,0.0435,,,,,
,,,,,Agriculture:All,,,Decay: AG Medium -> AG Slow [Type],,0.0113,,,,,
,,,,,Agriculture:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.1479,,,,,
,,,,,Agriculture:All,,,Decay: BG Fast -> BG Slow [Type],,0.0435,,,,,
,,,,,Agriculture:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.1514,,,,,
,,,,,Agriculture:All,,,Decay: Snag Branch -> AG Slow [Type],,0.0217,,,,,
,,,,,Agriculture:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0057,,,,,
,,,,,Agriculture:All,,,Emission: AG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Agriculture:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0553,,,,,
,,,,,Agriculture:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0338,,,,,
,,,,,Agriculture:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.6516,,,,,
,,,,,Agriculture:All,,,Emission: BG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Agriculture:All,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Agriculture:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.7393,,,,,
,,,,,Agriculture:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.1061,,,,,
