File Name (Entity Type),File (Entity Type) Definition,Column (Attribute) Name,Attribute Description,Unit,,,,,,,,,,
FSP_Stagg_GCC_Decomp_Decomposition.csv,text spreadsheet containing percent litter remaining following burial for different periods of time (2010-2011) at the plot scale,River ID,river designation,numeral (1-2),1=Savannah River, 2=Waccamaw River,,,,,,,,
,,Site ID,site designation,numeral (1-4),1=upper forest; tidal freshwater forest,2=middle forest; low-oligohaline tidal forest,3=lower forest; moderate-oligohaline tidal forest,4=marsh; high-oligohaline marsh,,,,,,
,,Microtopography,topographic characterization at the plot scale,"O, U, or NA",O=hollow,U=hummock,NA=not applicable to site,,,,,,,
,,Depth,depth of litterbag below surface,"numeral (10, 25, 50)",10= 10 centimeters below soil surface,25= 25 centimeters below soil surface,50= 50 centimeters below soil surface,,,,,,,
,,Replicate,sampling replication,count (1-2),1= replicate 1,2= replicate 2,,,,,,,,
,,Sampling Event,sampling event within time series,count (T1-T6),T1= 0.5 months after litterbag installation,T2= 1 month after litterbag installation,T3= 3 months after litterbag installation,T4= 6 months after litterbag installation,T5= 9 months after  litterbag installation,T6= 12 months after litterbag installation,,,,
,,Percent Mass Remaining,relative litter mass remaining,"percent; ""."" indicates missing value.",,,,,,,,,,
,,,,,,,,,,,,,,
FSP_Stagg_GCC_Decomp_Herbaceous.csv,text spreadsheet containing aboveground production estimated in year one (2010-2011) at the plot scale,River ID,river designation,numeral (1-2),1=Savannah River, 2=Waccamaw River,,,,,,,,
,,Site ID,site designation,numeral (1-4),1=upper forest; tidal freshwater forest,2=middle forest; low-oligohaline tidal forest,3=lower forest; moderate-oligohaline tidal forest,4=marsh; high-oligohaline marsh,,,,,,
,,Replicate,sampling replication,count (1-10),1= replicate 1,2= replicate 2,3= replicate 3,4= replicate 4,5= replicate 5,6= replicate 6,7=  replicate 7,8= replicate 8,9= replicate 9,10= replicate 10
,,Herbaceous Production (g m-2 y-1),annual aboveground production estimated at the plot scale,grams per square meter per year (g m-2 y-1),,,,,,,,,,
,,,,,,,,,,,,,,
FSP_Stagg_GCC_Lignin.csv,text spreadsheet containing relative lignin content measured at the site scale,River ID,river designation,numeral (1-2),1=Savannah River, 2=Waccamaw River,,,,,,,,
,,Site ID,site designation,numeral (1-4),1=upper forest; tidal freshwater forest,2=middle forest; low-oligohaline tidal forest,3=lower forest; moderate-oligohaline tidal forest,4=marsh; high-oligohaline marsh,,,,,,
,,Replicate,sampling replication,count (1-3),1= replicate 1,2= replicate 2,3= replicate 3,,,,,,,
,,Percent Lignin ,relative lignin content,percent,,,,,,,,,,
,,,,,,,,,,,,,,
FSP_Stagg_GCC_Decomp_SoilTemp&Flooding.csv,text spreadsheet containing average soil temperature and flooding for one year (2010-2011) ,River ID,river designation,numeral (1-2),1=Savannah River, 2=Waccamaw River,,,,,,,,
,,Site ID,site designation,numeral (1-4),1=upper forest; tidal freshwater forest,2=middle forest; low-oligohaline tidal forest,3=lower forest; moderate-oligohaline tidal forest,4=marsh; high-oligohaline marsh,,,,,,
,,Soil Temperature (°C),annual average soil temperature at 10 centimeters depth at site scale,Celsius (°C),,,,,,,,,,
,,Flood Depth (cm),annual average flood depth at site scale,centimeter (cm),,,,,,,,,,
,,,,,,,,,,,,,,
FSP_Stagg_GCC_Decomp_Redox.csv,text spreadsheet with reduction-oxidation potential at various soil depths at the plot scale,River ID,river designation,numeral (1-2),1=Savannah River, 2=Waccamaw River,,,,,,,,
,,Site ID,site designation,numeral (1-4),1=upper forest; tidal freshwater forest,2=middle forest; low-oligohaline tidal forest,3=lower forest; moderate-oligohaline tidal forest,4=marsh; high-oligohaline marsh,,,,,,
,,Microtopography,topographic characterization at the plot scale,"O, U, or NA",O=hollow,U=hummock,NA=not applicable to site,,,,,,,
,,Depth,depth below soil surface,"numeral (5, 10, 50)",5= 5 centimeters below soil surface,10= 10 centimeters below soil surface,50= 50 centimeters below soil surface,,,,,,,
,,Replicate,sampling replication,count (1-2),1= replicate 1,2= replicate 2,,,,,,,,
,,Sampling Event,sampling event within time series,"count (T1, T6)",T1= 0.5 months after litterbag installation,T6= 12 months after litterbag installation,,,,,,,,
,,Redox (mV),reduction-oxidation potential,"millivolt (mV); ""."" indicates missing value.",,,,,,,,,,
,,,,,,,,,,,,,,
FSP_Stagg_GCC_Decomp_Porewater.csv,text spreadsheet containing average porewater salinity for one year (2010-2011) ,River ID,river designation,numeral (1-2),1=Savannah River, 2=Waccamaw River,,,,,,,,
,,Site ID,site designation,numeral (1-4),1=upper forest; tidal freshwater forest,2=middle forest; low-oligohaline tidal forest,3=lower forest; moderate-oligohaline tidal forest,4=marsh; high-oligohaline marsh,,,,,,
,,Replicate,sampling replication,count (1-4),1= replicate 1,2= replicate 2,3= replicate 3,4= replicate 4,,,,,,
,,Porewater Salinity (PSU),annual average porewater salinity at 60 centimeters depth at plot scale,practical salinity unit (PSU),,,,,,,,,,
