ExternalVariable,MethaneGramsCH4,Methane,Burial,ANPP,Reference,Year,HarvestYear,EstimatedAge,Age
1,NA,104.7,9.814671815,541.4,(Krauss et al. 2018),2018,,NA,66
2,NA,0.8,48.71317829,487.3,(Krauss et al. 2018),2018,,NA,66
3,NA,NA,NA,454.5,(Brantley et al. 2008),2008,1903,105,NA
4,NA,NA,NA,96.75,(Hoeppner et al. 2008),2008,1903,105,NA
5,NA,NA,NA,427.5,(Middleton and McKee 2004),2004,1903,101,NA
6,NA,NA,NA,708.3,"(Conner & Day, 1976)",1976,1903,73,NA
7,NA,NA,NA,513,"(Conner & Day, 1976)",1976,1903,73,NA
8,NA,NA,NA,607.5,"(Elder and Cairns, 1982)",1982,1903,79,NA
9,NA,NA,NA,389.25,(Conner et al. 1993),1993,1903,90,NA
10,NA,NA,NA,712.8,"(Day et al., 1977)",1977,1903,74,NA
11,NA,NA,NA,513,"(Day et al., 1977)",1977,1903,74,NA
12,NA,NA,NA,454.73,(Conner and Day 1987),1987,1903,84,NA
13,NA,NA,NA,357.75,(Shaffer et al. 2016),2016,1903,113,NA
14,NA,NA,NA,331.65,"(Shaffer et al., 2009)",2009,1903,106,NA
15,NA,NA,NA,270,"(Edwards et al., 2019)",2019,1903,116,NA
16,NA,NA,NA,190,"(Edwards et al., 2019)",2019,1903,116,NA
17,NA,NA,NA,140,"(Edwards et al., 2019)",2019,1903,116,NA
18,NA,NA,NA,80,"(Edwards et al., 2019)",2019,1903,116,NA
19,NA,NA,NA,340.2,"(Megonigal et al., 1997)",1997,1903,94,NA
20,NA,NA,NA,459.23,"(Megonigal et al., 1997)",1997,1903,94,NA
21,NA,NA,NA,502.88,"(Megonigal et al., 1997)",1997,1903,94,NA
22,NA,NA,NA,377.1,"(Megonigal et al., 1997)",1997,1903,94,NA
23,NA,NA,NA,458.78,"(Megonigal et al., 1997)",1997,1903,94,NA
24,NA,NA,NA,779.85,"(Megonigal et al., 1997)",1997,1903,94,NA
25,NA,NA,NA,682.2,"(Conner & Day, 1976)",1976,1903,73,NA
26,NA,NA,NA,524.7,(Conner et al. 1981),1981,1903,78,NA
27,NA,NA,NA,398.7,(Conner et al. 1993),1993,1903,90,NA
28,NA,NA,NA,800.55,(Conner 1994),1994,1903,91,NA
29,NA,NA,NA,491.02,(Day et al. 2006),2006,1903,103,NA
30,NA,NA,NA,275.4,(Hillmann et al. 2019),2019,1903,116,NA
31,NA,NA,NA,370.35,(Hillmann et al. 2020),2020,1903,117,NA
32,NA,NA,163,NA,(Scaroni 2011),2011,1903,108,NA
33,NA,NA,327,NA,(Scaroni 2011),2011,1903,108,NA
34,NA,NA,134.7,NA,(Rybczyk et al. 2002),2002,1903,99,NA
35,NA,NA,340,NA,(Hupp et al. 2019),2019,1903,116,NA
36,53.3,39.90440067,NA,NA,(Alford et al. 1997),1997,1903,94,NA
37,78.8,58.99562426,NA,NA,(Lane et al. 2017),2017,1903,114,NA
38,-0.04,-0.029947017,NA,NA,(Yu et al. 2008),2008,1903,105,NA
39,1.8,1.347615783,NA,NA,(Yu et al. 2008),2008,1903,105,NA
40,182.4,136.5583993,NA,NA,(Yu et al. 2008),2008,1903,105,NA
