Site.ID,Accretion Interval CDensity TC.g.m.2.per.cm,BGSCDensity Mean TC.g.m.2.per.cm,BGSCDensity Bottom TC.g.m.2.per.cm,BGSCDensity Top TC.g.m.2.per.cm
BA-01-04,465.2624,563.7677,569.3133,550.8279
CRMS0175,291.9828,378.9207,417.7736,288.264
CRMS0211,620.2872,497.6235,567.2461,335.1708
CRMS0224,554.1065,459.5082,507.0254,348.6347
CRMS0225,877.725,626.3006,733.549,376.0544
CRMS0237,224.4861,350.9391,368.7937,309.2785
CRMS0253,539.5365,477.3694,552.5191,302.0201
CRMS0273,708.6096,564.4522,627.309,417.7864
CRMS0305,622.3176,398.1635,485.1822,195.1198
CRMS0309,349.3416,398.2612,466.8369,238.2514
CRMS0327,599.7952,463.7763,503.7237,370.5659
CRMS0331,490.4497,684.7099,738.692,558.7519
CRMS0337,453.1082,371.4104,422.9906,251.0566
CRMS0367,371.2248,457.0053,459.0842,452.1545
CRMS0377,268.9904,339.4395,368.5834,271.437
CRMS0398,542.6902,538.3262,624.8384,336.4646
CRMS0399,632.9208,497.709,598.9692,261.4354
CRMS2825,830.1986,646.9316,739.5626,430.7924
CRMS3166,696.8878,730.4131,829.4247,499.3862
CRMS3565,612.974,539.4812,648.7492,284.5225
CRMS3617,637.0944,525.7514,580.5734,397.8336
CRMS4045,471.2173,454.9971,527.5327,285.7473
CRMS4245,1329.5736,1049.3787,1308.0073,445.9121
CRMS4455,676.4334,434.3446,542.5257,181.9219
