Site.ID,Wetland Subclass LUCAS,FoliageStock,RootStock,AGVFStock,BGVFStock,BGSStock,FoliageNPP,RootNPP,BGVFPercentLoss,Burial210Pb TC.g.m.2,MethaneFlux,ExternalVariableValue,TotalLatTrans_Amount,externalVariableLat,externalVariableLatSite,TotalNPP_Amount,SedimentTransport_Amount,FoliageGrowth_PropTotalNPP,RootGrowth_PropTotalNPP,FoliageMaxStock,FoliageMortality_PropMaxStock,FoliageMortality_Amount,RootMaxStock,RootMortality_PropMaxStock,RootMortality_Amount,AGVFMaxStock,AGVFOut_PropMaxStock,AGVFOut_Amount,AGVFStabilization_Amount,AGVFStabilization_PropOut,AGVFStabilization_PropMaxStock,BGVFMaxStock,BGVFOut_PropMaxStock,BGVFOut_Amount,BGVFStabilization_PropOut,BGVFStabilization_Amount,BGVFStabilization_PropMaxStock,BGSDeposition,BGSIn_Amount,BGSMaxStock,BGSOut_PropMaxStock,BGSOut_Amount,TotalOut_Amount,AGVFOut_PropOut,BGVFOut_PropOut,BGSOut_PropOut,TotalMaxStock,AGVFMaxStock_PropMaxStock,BGVFMaxStock_PropMaxStock,BGSMaxStock_PropMaxStock,BGSStabilization_PropOut,BGSStabilization_Amount,BGSStabilization_PropMaxStock,TotalStabilization_Amount,AGVFEmissionLatTrans_Amount,BGVFEmissionLatTrans_Amount,BGSEmissionLatTrans_Amount,TotalEmissionLatTrans_Amount,TotalLatTrans_PropEmissionLatTrans,AGVFLatTrans_Amount,BGVFLatTrans_Amount,BGSLatTrans_Amount,AGVFLatTrans_PropMaxStock,BGVFLatTrans_PropMaxStock,BGSLatTrans_PropMaxStock,AGVFLatTrans_PropOut,BGVFLatTrans_PropOut,BGSLatTrans_PropOut,AGVFEmission_Amount,BGVFEmission_Amount,BGSEmission_Amount,AGVFEmissionCH4_Amount,BGVFEmissionCH4_Amount,BGSEmissionCH4_Amount,AGVFEmissionCO2_Amount,BGVFEmissionCO2_Amount,BGSEmissionCO2_Amount,AGVFEmissionCH4_PropMaxStock,BGVFEmissionCH4_PropMaxStock,BGSEmissionCH4_PropMaxStock,AGVFEmissionCO2_PropMaxStock,BGVFEmissionCO2_PropMaxStock,BGSEmissionCO2_PropMaxStock,AGVFEmission_PropMaxStock,BGVFEmission_PropMaxStock,BGSEmission_PropMaxStock,AGVFEmission_PropOut,BGVFEmission_PropOut,BGSEmission_PropOut,outAGVFCheck,outBGVFCheck,outBGSCheck,massBalanceCheck,checkAGVFratio,checkBGVFratio,checkBGSratio,checkpropAGVF
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,10,7,1,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.0025,1.3413,6.6456,2.0131,0.0012,0.0012,0,0.0025,0.0018,0.0019,532.4288,2637.9222,799.0801,1.9436,9.6295,2.917,530.4852,2628.2927,796.1631,0.0017,0.0017,1e-4,0.465,0.4742,0.0139,0.4667,0.4759,0.0139,0.9975,0.7128,0.7567,1,1,1,-0,396.9431,396.9431,396.9431,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,105,9,19,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.0264,14.0839,69.7787,21.1374,0.0123,0.0126,4e-4,0.0264,0.0189,0.02,519.6862,2574.789,779.9558,1.9436,9.6295,2.917,517.7426,2565.1596,777.0388,0.0017,0.0017,1e-4,0.4539,0.4628,0.0135,0.4556,0.4645,0.0136,0.9736,0.6958,0.7386,1,1,1,-0,36.8993,36.8993,36.8993,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,123,6,37,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.0309,16.4983,81.7408,24.7609,0.0145,0.0147,4e-4,0.0309,0.0221,0.0234,517.2718,2562.827,776.3322,1.9436,9.6295,2.917,515.3283,2553.1975,773.4153,0.0017,0.0017,1e-4,0.4518,0.4607,0.0135,0.4535,0.4624,0.0135,0.9691,0.6925,0.7351,1,1,1,-0,31.3531,31.3531,31.3531,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,156,4,55,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.0392,20.9246,103.6712,31.4041,0.0183,0.0187,5e-4,0.0392,0.028,0.0297,512.8455,2540.8965,769.689,1.9436,9.6295,2.917,510.9019,2531.2671,766.7721,0.0017,0.0017,1e-4,0.4479,0.4567,0.0134,0.4496,0.4584,0.0134,0.9608,0.6866,0.7288,1,1,1,-0,24.5092,24.5092,24.5092,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,175,2,73,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.044,23.4731,116.2979,35.229,0.0206,0.021,6e-4,0.044,0.0314,0.0334,510.297,2528.2699,765.8642,1.9436,9.6295,2.917,508.3534,2518.6404000000002,762.9472,0.0017,0.0017,1e-4,0.4456,0.4544,0.0133,0.4473,0.4562,0.0133,0.956,0.6832,0.7252,1,1,1,-0,21.7396,21.7396,21.7396,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,201,8,91,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.0505,26.9606,133.5764,40.463,0.0236,0.0241,7e-4,0.0505,0.0361,0.0383,506.8095,2510.9914,760.6302,1.9436,9.6295,2.917,504.8659,2501.3619,757.7132,0.0017,0.0017,1e-4,0.4426,0.4513,0.0132,0.4443,0.453,0.0132,0.9495,0.6785,0.7203,1,1,1,-0,18.7982,18.7982,18.7982,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,320,5,109,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.0804,42.9223,212.659,64.4187,0.0376,0.0384,0.0011,0.0804,0.0575,0.061,490.8478,2431.9088,736.6745,1.9436,9.6295,2.917,488.9042,2422.2793,733.7575,0.0017,0.0017,1e-4,0.4286,0.437,0.0128,0.4303,0.4388,0.0128,0.9196,0.6572,0.6976,1,1,1,-0,11.4357,11.4357,11.4357,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,414,1,127,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.104,55.5308,275.1275,83.3417,0.0487,0.0496,0.0015,0.104,0.0743,0.0789,478.2394,2369.4402,717.7515,1.9436,9.6295,2.917,476.2958,2359.8108,714.8345,0.0017,0.0017,1e-4,0.4175,0.4258,0.0124,0.4192,0.4275,0.0125,0.896,0.6403,0.6797,1,1,1,-0,8.6122,8.6122,8.6122,0
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.49,13,456,3,145,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0,0,0,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1056.057,57432.8283,0.0184,1056.057,5290.4518,0.1009,0.6995,0.1996,64116.0985,0.0178,0.0864,0.8958,0.2414,254.9638,0.0044,1311.0208,533.7701,2644.5678,801.0932,3979.431,0.1146,61.1643,303.039,91.7967,0.0536,0.0547,0.0016,0.1146,0.0819,0.0869,472.6058,2341.5287,709.2965,1.9436,9.6295,2.917,470.6622,2331.8993,706.3795,0.0017,0.0017,1e-4,0.4126,0.4207,0.0123,0.4143,0.4225,0.0124,0.8854,0.6327,0.6716,1,1,1,-0,7.7268,7.7268,7.7268,0
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,14.49,1,10,7,2,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0,0,0,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,884.3705,38776.4414,0.0228,884.3705,2420.7758,0.0645,0.5702,0.3653,41697.1792,0.0061,0.0639,0.93,0.1519,134.3121,0.0035,1018.6826,156.0924,495.9423,750.0584,1402.0932,0.0071,1.1133,3.5372,5.3496,0.0044,0.0013,1e-4,0.0071,0.0026,0.006,154.9791,492.4051,744.7089,1.6131,5.1253,7.7515,153.366,487.2798,736.9574,0.0063,0.0019,2e-4,0.5997,0.1828,0.019,0.606,0.1848,0.0192,0.9929,0.3567,0.8421,1,1,1,0,139.2093,139.2093,139.2093,0
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,14.49,1,105,9,20,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0,0,0,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,884.3705,38776.4414,0.0228,884.3705,2420.7758,0.0645,0.5702,0.3653,41697.1792,0.0061,0.0639,0.93,0.1519,134.3121,0.0035,1018.6826,156.0924,495.9423,750.0584,1402.0932,0.0749,11.6895,37.1401,56.1704,0.0457,0.0139,0.0014,0.0749,0.0269,0.0635,144.403,458.8022,693.888,1.6131,5.1253,7.7515,142.7898,453.6768,686.1365,0.0063,0.0019,2e-4,0.5584,0.1702,0.0177,0.5647,0.1722,0.0179,0.9251,0.3324,0.7846,1,1,1,0,12.3533,12.3533,12.3533,0
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,14.49,1,123,6,38,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0,0,0,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,884.3705,38776.4414,0.0228,884.3705,2420.7758,0.0645,0.5702,0.3653,41697.1792,0.0061,0.0639,0.93,0.1519,134.3121,0.0035,1018.6826,156.0924,495.9423,750.0584,1402.0932,0.0877,13.6934,43.507,65.7996,0.0535,0.0163,0.0017,0.0877,0.0315,0.0744,142.3991,452.4353,684.2588,1.6131,5.1253,7.7515,140.7859,447.3099,676.5073,0.0063,0.0019,2e-4,0.5505,0.1678,0.0174,0.5568,0.1698,0.0176,0.9123,0.3278,0.7737,1,1,1,0,10.3991,10.3991,10.3991,0
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,14.49,1,156,4,56,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0,0,0,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,884.3705,38776.4414,0.0228,884.3705,2420.7758,0.0645,0.5702,0.3653,41697.1792,0.0061,0.0639,0.93,0.1519,134.3121,0.0035,1018.6826,156.0924,495.9423,750.0584,1402.0932,0.1113,17.3672,55.1796,83.4532,0.0679,0.0207,0.0022,0.1113,0.04,0.0944,138.7252,440.7627,666.6053,1.6131,5.1253,7.7515,137.1121,435.6373,658.8537,0.0063,0.0019,2e-4,0.5362,0.1635,0.017,0.5425,0.1654,0.0172,0.8887,0.3193,0.7538,1,1,1,0,7.9878,7.9878,7.9878,0
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,14.49,1,175,2,74,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0,0,0,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,884.3705,38776.4414,0.0228,884.3705,2420.7758,0.0645,0.5702,0.3653,41697.1792,0.0061,0.0639,0.93,0.1519,134.3121,0.0035,1018.6826,156.0924,495.9423,750.0584,1402.0932,0.1248,19.4824,61.9002,93.6173,0.0762,0.0232,0.0024,0.1248,0.0448,0.1059,136.61,434.0421,656.4411,1.6131,5.1253,7.7515,134.9969,428.9167,648.6896,0.0063,0.0019,2e-4,0.5279,0.1609,0.0167,0.5342,0.1629,0.0169,0.8752,0.3145,0.7423,1,1,1,0,7.012,7.012,7.012,0
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,14.49,1,201,8,92,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0,0,0,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,884.3705,38776.4414,0.0228,884.3705,2420.7758,0.0645,0.5702,0.3653,41697.1792,0.0061,0.0639,0.93,0.1519,134.3121,0.0035,1018.6826,156.0924,495.9423,750.0584,1402.0932,0.1434,22.377,71.0968,107.5262,0.0875,0.0267,0.0028,0.1434,0.0515,0.1216,133.7155,424.8455,642.5322,1.6131,5.1253,7.7515,132.1023,419.7201,634.7807,0.0063,0.0019,2e-4,0.5166,0.1575,0.0164,0.5229,0.1594,0.0166,0.8566,0.3078,0.7265,1,1,1,0,5.9756,5.9756,5.9756,0
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,14.49,1,320,5,110,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0,0,0,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,884.3705,38776.4414,0.0228,884.3705,2420.7758,0.0645,0.5702,0.3653,41697.1792,0.0061,0.0639,0.93,0.1519,134.3121,0.0035,1018.6826,156.0924,495.9423,750.0584,1402.0932,0.2282,35.625,113.189,171.186,0.1393,0.0425,0.0044,0.2282,0.082,0.1936,120.4674,382.7533,578.8724,1.6131,5.1253,7.7515,118.8543,377.6279,571.1209,0.0063,0.0019,2e-4,0.4648,0.1417,0.0147,0.4711,0.1436,0.0149,0.7718,0.2773,0.6546,1,1,1,0,3.3815,3.3815,3.3815,0
