Site.ID,Wetland Subclass LUCAS,FoliageStock,RootStock,AGVFStock,BGVFStock,BGSStock,FoliageNPP,RootNPP,BGVFPercentLoss,Burial210Pb TC.g.m.2,MethaneFlux,ExternalVariableValue,AGVFPercentLoss,TotalLatTrans_Amount,externalVariableLat,externalVariableLatSite,TotalNPP_Amount,SedimentTransport_Amount,FoliageGrowth_PropTotalNPP,RootGrowth_PropTotalNPP,FoliageMaxStock,FoliageMortality_PropMaxStock,FoliageMortality_Amount,RootMaxStock,RootMortality_PropMaxStock,RootMortality_Amount,AGVFMaxStock,AGVFOut_PropMaxStock,AGVFOut_Amount,AGVFStabilization_PropOut,AGVFStabilization_Amount,AGVFStabilization_PropMaxStock,BGVFMaxStock,BGVFOut_PropMaxStock,BGVFOut_Amount,BGVFStabilization_PropOut,BGVFStabilization_Amount,BGVFStabilization_PropMaxStock,BGSDeposition,BGSIn_Amount,BGSMaxStock,BGSOut_PropMaxStock,BGSOut_Amount,TotalOut_Amount,AGVFOut_PropOut,BGVFOut_PropOut,BGSOut_PropOut,TotalMaxStock,AGVFMaxStock_PropMaxStock,BGVFMaxStock_PropMaxStock,BGSMaxStock_PropMaxStock,BGSStabilization_PropOut,BGSStabilization_Amount,BGSStabilization_PropMaxStock,TotalStabilization_Amount,AGVFEmissionLatTrans_Amount,BGVFEmissionLatTrans_Amount,BGSEmissionLatTrans_Amount,TotalEmissionLatTrans_Amount,TotalLatTrans_PropEmissionLatTrans,AGVFLatTrans_Amount,BGVFLatTrans_Amount,BGSLatTrans_Amount,AGVFLatTrans_PropMaxStock,BGVFLatTrans_PropMaxStock,BGSLatTrans_PropMaxStock,AGVFLatTrans_PropOut,BGVFLatTrans_PropOut,BGSLatTrans_PropOut,AGVFEmission_Amount,BGVFEmission_Amount,BGSEmission_Amount,AGVFEmission_PropMaxStock,BGVFEmission_PropMaxStock,BGSEmission_PropMaxStock,AGVFEmission_PropOut,BGVFEmission_PropOut,BGSEmission_PropOut,outAGVFCheck,outBGVFCheck,outBGSCheck,massBalanceCheck,checkAGVFratio,checkBGVFratio,checkBGSratio,checkpropAGVF
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,10,7,1,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.0025,1.1314,6.6456,2.223,0.001,0.0012,0,0.0021,0.0018,0.002,449.0866,2637.9222,882.4223,0.3937,0.4759,0.0153,0.8413,0.7128,0.7743,-0,-0,0,-0,396.9431,396.9431,396.9431,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,105,9,19,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.0264,11.8793,69.7787,23.342,0.0104,0.0126,4e-4,0.0223,0.0189,0.0205,438.3386,2574.789,861.3034,0.3843,0.4645,0.015,0.8212,0.6958,0.7558,0,-0,-0,-0,36.8993,36.8993,36.8993,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,123,6,37,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.0309,13.9158,81.7408,27.3435,0.0122,0.0147,5e-4,0.0261,0.0221,0.024,436.3022,2562.827,857.3019,0.3825,0.4624,0.0149,0.8174,0.6925,0.7523,0,-0,0,-0,31.3531,31.3531,31.3531,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,156,4,55,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.0392,17.6493,103.6712,34.6795,0.0155,0.0187,6e-4,0.0331,0.028,0.0304,432.5687,2540.8965,849.9659,0.3792,0.4584,0.0148,0.8104,0.6866,0.7458,-0,-0,0,-0,24.5092,24.5092,24.5092,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,175,2,73,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.044,19.7988,116.2979,38.9033,0.0174,0.021,7e-4,0.0371,0.0314,0.0341,430.4191,2528.2699,845.7421,0.3773,0.4562,0.0147,0.8064,0.6832,0.7421,-0,-0,0,-0,21.7396,21.7396,21.7396,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,201,8,91,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.0505,22.7404,133.5764,44.6832,0.0199,0.0241,8e-4,0.0426,0.0361,0.0392,427.4775,2510.9914,839.9622,0.3747,0.453,0.0146,0.8009,0.6785,0.7371,0,-0,0,-0,18.7982,18.7982,18.7982,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,320,5,109,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.0804,36.2036,212.659,71.1374,0.0317,0.0384,0.0012,0.0678,0.0575,0.0624,414.0143,2431.9088,813.5079,0.3629,0.4388,0.0141,0.7756,0.6572,0.7138,0,-0,0,-0,11.4357,11.4357,11.4357,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,414,1,127,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.104,46.8384,275.1275,92.0341,0.0411,0.0496,0.0016,0.0878,0.0743,0.0808,403.3795,2369.4402,792.6113,0.3536,0.4275,0.0138,0.7557,0.6403,0.6955,0,-0,0,-0,8.6122,8.6122,8.6122,0.0016
BA-01-04,Wetland: Estuarine Emergent,46.4482,120.7959,606.9508,1841.9246,56376.7713,533.7701,3700.6247,0.7146,254.9638,14.5,13,0.8435,456,3,145,4234.3948,0,0.1261,0.8739,580.2183,0.9199,533.7701,3821.4207,0.9684,3700.6247,1140.7209,0.4679,533.7701,0.1565,83.5522,0.0732,5542.5494,0.6677,3700.6247,0.2854,1056.057,0.1905,0,1139.6091,57516.3805,0.0198,1139.6091,5374.004,0.0993,0.6886,0.2121,64199.6507,0.0178,0.0863,0.8959,0.2237,254.9638,0.0044,1394.5729,450.2179,2644.5678,884.6454,3979.431,0.1146,51.5901,303.039,101.3708,0.0452,0.0547,0.0018,0.0967,0.0819,0.089,398.6278,2341.5287,783.2745,0.3495,0.4225,0.0136,0.7468,0.6327,0.6873,-0,-0,0,-0,7.7268,7.7268,7.7268,0.0016
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,10,7,2,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.0071,0.8567,3.5372,5.6062,0.0034,0.0013,1e-4,0.0055,0.0026,0.0061,119.259,492.4051,780.429,0.4664,0.1848,0.0201,0.764,0.3567,0.848,0,0,0,0,139.2093,139.2093,139.2093,9e-4
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,105,9,20,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.0749,8.9952,37.1401,58.8646,0.0352,0.0139,0.0015,0.0576,0.0269,0.064,111.1204,458.8022,727.1706,0.4345,0.1722,0.0187,0.7119,0.3324,0.7901,0,0,0,0,12.3533,12.3533,12.3533,9e-4
