Name,ID,Color,Legend,Description
Ag Expansion: Cropland,200,"255,0,128,128",,NLCD Change
Ag Expansion: Pasture,201,"255,255,165,0",,NLCD Change
Fire: High Severity,300,"255,255,0,0",,Landfire Disturbance data
Fire: Low Severity,301,"255,128,255,0",,Landfire Disturbance data
Fire: Medium Severity,302,"255,255,255,0",,Landfire Disturbance data
Forest Harvest: Forest Clearcut,400,"255,165,42,42",,Landfire Disturbance data
Forest Harvest: Forest Selection,401,"255,0,128,0",,Landfire Disturbance data
Forest Harvest: Forest Selection 20%,402,"255,255,255,0",,
Forest Harvest: Forest Selection 85%,403,"255,0,128,128",,
Forest Harvest: Salvage Logging,404,"255,0,255,255",,
Insect: High Severity,500,"255,128,0,128",,Based on ADS data with mortality > 30%
Insect: Low Severity,501,"255,0,0,255",,Based on ADS data with mortality 4-10%
Insect: Medium Severity,502,"255,255,255,0",,Based on ADS data with mortality 10-30%
Intensification: Low to High,600,"255,0,0,255",,NLCD Change
Intensification: Low to Medium,601,"255,255,0,0",,NLCD Change
Intensification: Medium to High,602,"255,255,255,0",,NLCD Change
Intensification: Open to High,603,"255,255,165,0",,NLCD Change
Intensification: Open to Low,604,"255,0,128,0",,NLCD Change
Intensification: Open to Medium,605,"255,0,128,128",,NLCD Change
Restoration Wetland: Estuarine Emergent,700,"255,175,0,175",,
Restoration Wetland: Estuarine Forested,701,"255,61,0,61",,
Restoration Wetland: Palustrine Emergent,702,"255,242,0,242",,
Restoration Wetland: Palustrine Forested,703,"255,0,91,91",,
Succession Post Fire: Alder/Maple Group,800,"255,128,0,64",,
Succession Post Fire: Aspen/Birch Group,801,"255,128,0,255",,
Succession Post Fire: California Mixed Conifer Group,802,"255,128,0,255",,
Succession Post Fire: Douglas-fir Coastal Group,803,"255,255,0,128",,
Succession Post Fire: Douglas-fir Inland Group,804,,,
Succession Post Fire: Elm/Ash/Cottonwood Group,805,"255,128,0,255",,
Succession Post Fire: Exotic Hardwoods Group,806,"255,255,0,128",,
Succession Post Fire: Exotic Softwoods Group,807,"255,128,0,255",,
Succession Post Fire: Fir/Spruce/Mountain Hemlock Group,808,"255,255,0,128",,
Succession Post Fire: Hemlock/Sitka Spruce Group,809,"255,255,0,128",,
Succession Post Fire: Loblolly/Shortleaf Pine Group,810,"255,128,0,255",,
Succession Post Fire: Lodgepole Pine Group,811,"255,255,0,128",,
Succession Post Fire: Longleaf/Slash Pine Group,812,"255,64,0,128",,
Succession Post Fire: Maple/Beech/Birch Group,813,"255,255,0,128",,
Succession Post Fire: Oak/Gum/Cypress Group,814,"255,128,0,255",,
Succession Post Fire: Oak/Hickory Group,815,"255,255,0,128",,
Succession Post Fire: Oak/Pine Group,816,"255,255,0,128",,
Succession Post Fire: Other Western Hardwoods Group,817,"255,128,0,255",,
Succession Post Fire: Other Western Softwood Group,818,"255,255,0,255",,
Succession Post Fire: Pinyon/Juniper Group,819,"255,255,0,128",,
Succession Post Fire: Ponderosa Pine Group,820,"255,128,0,255",,
Succession Post Fire: Redwood Group,821,"255,255,0,128",,
Succession Post Fire: Spruce/Fir Group,822,"255,255,0,128",,
Succession Post Fire: Tanoak/Laurel Group,823,"255,255,0,128",,
Succession Post Fire: Tropical Hardwoods Group,824,"255,255,0,128",,
Succession Post Fire: Western Larch Group,825,"255,255,0,128",,
Succession Post Fire: Western Oak Group,826,"255,255,0,128",,
Succession Post Fire: Western White Pine Group,827,"255,255,0,128",,
Succession Post Fire: White/Red/Jack Pine Group,828,"255,255,0,128",,
Urbanization: High,900,"255,128,0,128",,NLCD Change
Urbanization: Low,901,"255,165,42,42",,NLCD Change
Urbanization: Medium,902,"255,0,255,255",,NLCD Change
Urbanization: Open,903,"255,128,128,128",,NLCD Change
Ag Contraction Cropland: Alder/Maple Group,1,,,
Ag Contraction Cropland: Aspen/Birch Group,2,,,
Ag Contraction Cropland: California Mixed Conifer Group,3,,,
Ag Contraction Cropland: Douglas-fir Coastal Group,4,,,
Ag Contraction Cropland: Douglas-fir Inland Group,5,,,
Ag Contraction Cropland: Elm/Ash/Cottonwood Group,6,,,
Ag Contraction Cropland: Exotic Hardwoods Group,7,,,
Ag Contraction Cropland: Exotic Softwoods Group,8,,,
Ag Contraction Cropland: Fir/Spruce/Mountain Hemlock Group,9,,,
Ag Contraction Cropland: Hemlock/Sitka Spruce Group,10,,,
Ag Contraction Cropland: Loblolly/Shortleaf Pine Group,11,,,
Ag Contraction Cropland: Lodgepole Pine Group,12,,,
Ag Contraction Cropland: Longleaf/Slash Pine Group,13,,,
Ag Contraction Cropland: Maple/Beech/Birch Group,14,,,
Ag Contraction Cropland: Oak/Gum/Cypress Group,15,,,
Ag Contraction Cropland: Oak/Hickory Group,16,,,
Ag Contraction Cropland: Oak/Pine Group,17,,,
Ag Contraction Cropland: Other Western Hardwoods Group,18,,,
Ag Contraction Cropland: Other Western Softwood Group,19,,,
Ag Contraction Cropland: Pinyon/Juniper Group,20,,,
Ag Contraction Cropland: Ponderosa Pine Group,21,,,
Ag Contraction Cropland: Redwood Group,22,,,
Ag Contraction Cropland: Spruce/Fir Group,23,,,
Ag Contraction Cropland: Tanoak/Laurel Group,24,,,
Ag Contraction Cropland: Tropical Hardwoods Group,25,,,
Ag Contraction Cropland: Western Larch Group,26,,,
Ag Contraction Cropland: Western Oak Group,27,,,
Ag Contraction Cropland: Western White Pine Group,28,,,
Ag Contraction Cropland: White/Red/Jack Pine Group,29,,,
Ag Contraction Cropland: Grassland Annual,30,,,
