TransitionTypeID,TransitionGroupID,IsAuto
Ag Expansion: Cropland,Ag Expansion,
Ag Expansion: Pasture,Ag Expansion,
Fire: High Severity,Fire,
Fire: Low Severity,Fire,
Fire: Medium Severity,Fire,
Forest Harvest: Forest Clearcut,Forest Harvest,
Forest Harvest: Forest Selection,Forest Harvest,
Forest Harvest: Forest Selection 20%,Forest Harvest,
Forest Harvest: Forest Selection 85%,Forest Harvest,
Forest Harvest: Salvage Logging,Forest Harvest,
Insect: High Severity,Insect,
Insect: Low Severity,Insect,
Insect: Medium Severity,Insect,
Intensification: Low to High,Intensification,
Intensification: Low to Medium,Intensification,
Intensification: Medium to High,Intensification,
Intensification: Open to High,Intensification,
Intensification: Open to Low,Intensification,
Intensification: Open to Medium,Intensification,
Succession Post Fire: Alder/Maple Group,Succession: Post Fire Recovery,
Succession Post Fire: Aspen/Birch Group,Succession: Post Fire Recovery,
Succession Post Fire: California Mixed Conifer Group,Succession: Post Fire Recovery,
Succession Post Fire: Douglas-fir Coastal Group,Succession: Post Fire Recovery,
Succession Post Fire: Douglas-fir Inland Group,Succession: Post Fire Recovery,
Succession Post Fire: Elm/Ash/Cottonwood Group,Succession: Post Fire Recovery,
Succession Post Fire: Exotic Hardwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Exotic Softwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Fir/Spruce/Mountain Hemlock Group,Succession: Post Fire Recovery,
Succession Post Fire: Hemlock/Sitka Spruce Group,Succession: Post Fire Recovery,
Succession Post Fire: Loblolly/Shortleaf Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Lodgepole Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Longleaf/Slash Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Maple/Beech/Birch Group,Succession: Post Fire Recovery,
Succession Post Fire: Oak/Gum/Cypress Group,Succession: Post Fire Recovery,
Succession Post Fire: Oak/Hickory Group,Succession: Post Fire Recovery,
Succession Post Fire: Oak/Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Other Western Hardwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Other Western Softwood Group,Succession: Post Fire Recovery,
Succession Post Fire: Pinyon/Juniper Group,Succession: Post Fire Recovery,
Succession Post Fire: Ponderosa Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Redwood Group,Succession: Post Fire Recovery,
Succession Post Fire: Spruce/Fir Group,Succession: Post Fire Recovery,
Succession Post Fire: Tanoak/Laurel Group,Succession: Post Fire Recovery,
Succession Post Fire: Tropical Hardwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Western Larch Group,Succession: Post Fire Recovery,
Succession Post Fire: Western Oak Group,Succession: Post Fire Recovery,
Succession Post Fire: Western White Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: White/Red/Jack Pine Group,Succession: Post Fire Recovery,
Urbanization: High,Urbanization,
Urbanization: Low,Urbanization,
Urbanization: Medium,Urbanization,
Urbanization: Open,Urbanization,
Restoration Wetland: Estuarine Emergent,Restoration Wetland,
Restoration Wetland: Estuarine Forested,Restoration Wetland,
Restoration Wetland: Palustrine Emergent,Restoration Wetland,
Restoration Wetland: Palustrine Forested,Restoration Wetland,
Ag Contraction Cropland: Alder/Maple Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Aspen/Birch Group,Ag Contraction: Cropland,
Ag Contraction Cropland: California Mixed Conifer Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Douglas-fir Coastal Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Douglas-fir Inland Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Elm/Ash/Cottonwood Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Exotic Hardwoods Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Exotic Softwoods Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Fir/Spruce/Mountain Hemlock Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Hemlock/Sitka Spruce Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Loblolly/Shortleaf Pine Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Lodgepole Pine Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Longleaf/Slash Pine Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Maple/Beech/Birch Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Oak/Gum/Cypress Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Oak/Hickory Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Oak/Pine Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Other Western Hardwoods Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Other Western Softwood Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Pinyon/Juniper Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Ponderosa Pine Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Redwood Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Spruce/Fir Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Tanoak/Laurel Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Tropical Hardwoods Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Western Larch Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Western Oak Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Western White Pine Group,Ag Contraction: Cropland,
Ag Contraction Cropland: White/Red/Jack Pine Group,Ag Contraction: Cropland,
Ag Contraction Cropland: Grassland Annual,Ag Contraction: Cropland,
Ag Contraction Cropland: Grassland Natural Perennial,Ag Contraction: Cropland,
Ag Contraction Cropland: Grassland Irrigated Perennial,Ag Contraction: Cropland,
Ag Contraction Cropland: Shrubland Native Sage Steppe,Ag Contraction: Cropland,
Ag Contraction Cropland: Shrubland Invaded Sage Steppe,Ag Contraction: Cropland,
Ag Contraction Cropland: Shrubland Sage ,Ag Contraction: Cropland,
Ag Contraction Cropland: Shrubland Non-sage,Ag Contraction: Cropland,
Ag Contraction Cropland: Shrubland Chaparral,Ag Contraction: Cropland,
Ag Contraction Cropland: Shrubland Post Fire Shrub,Ag Contraction: Cropland,
Ag Contraction Cropland: Wetland Palustrine Forested,Ag Contraction: Cropland,
Ag Contraction Cropland: Wetland Estuarine Forested,Ag Contraction: Cropland,
Ag Contraction Cropland: Wetland Palustrine Emergent,Ag Contraction: Cropland,
Ag Contraction Cropland: Wetland Estuarine Emergent,Ag Contraction: Cropland,
Ag Contraction Pasture: Alder/Maple Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Aspen/Birch Group,Ag Contraction: Pasture,
Ag Contraction Pasture: California Mixed Conifer Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Douglas-fir Coastal Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Douglas-fir Inland Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Elm/Ash/Cottonwood Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Exotic Hardwoods Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Exotic Softwoods Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Fir/Spruce/Mountain Hemlock Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Hemlock/Sitka Spruce Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Loblolly/Shortleaf Pine Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Lodgepole Pine Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Longleaf/Slash Pine Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Maple/Beech/Birch Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Oak/Gum/Cypress Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Oak/Hickory Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Oak/Pine Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Other Western Hardwoods Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Other Western Softwood Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Pinyon/Juniper Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Ponderosa Pine Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Redwood Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Spruce/Fir Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Tanoak/Laurel Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Tropical Hardwoods Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Western Larch Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Western Oak Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Western White Pine Group,Ag Contraction: Pasture,
Ag Contraction Pasture: White/Red/Jack Pine Group,Ag Contraction: Pasture,
Ag Contraction Pasture: Grassland Annual,Ag Contraction: Pasture,
Ag Contraction Pasture: Grassland Natural Perennial,Ag Contraction: Pasture,
Ag Contraction Pasture: Grassland Irrigated Perennial,Ag Contraction: Pasture,
Ag Contraction Pasture: Shrubland Native Sage Steppe,Ag Contraction: Pasture,
Ag Contraction Pasture: Shrubland Invaded Sage Steppe,Ag Contraction: Pasture,
Ag Contraction Pasture: Shrubland Sage ,Ag Contraction: Pasture,
Ag Contraction Pasture: Shrubland Non-sage,Ag Contraction: Pasture,
Ag Contraction Pasture: Shrubland Chaparral,Ag Contraction: Pasture,
Ag Contraction Pasture: Shrubland Post Fire Shrub,Ag Contraction: Pasture,
Ag Contraction Pasture: Wetland Palustrine Forested,Ag Contraction: Pasture,
Ag Contraction Pasture: Wetland Estuarine Forested,Ag Contraction: Pasture,
Ag Contraction Pasture: Wetland Palustrine Emergent,Ag Contraction: Pasture,
Ag Contraction Pasture: Wetland Estuarine Emergent,Ag Contraction: Pasture,
Ag Contraction Cropland: Alder/Maple Group,Ag Contraction,
Ag Contraction Cropland: Aspen/Birch Group,Ag Contraction,
Ag Contraction Cropland: California Mixed Conifer Group,Ag Contraction,
Ag Contraction Cropland: Douglas-fir Coastal Group,Ag Contraction,
Ag Contraction Cropland: Douglas-fir Inland Group,Ag Contraction,
Ag Contraction Cropland: Elm/Ash/Cottonwood Group,Ag Contraction,
Ag Contraction Cropland: Exotic Hardwoods Group,Ag Contraction,
Ag Contraction Cropland: Exotic Softwoods Group,Ag Contraction,
Ag Contraction Cropland: Fir/Spruce/Mountain Hemlock Group,Ag Contraction,
Ag Contraction Cropland: Hemlock/Sitka Spruce Group,Ag Contraction,
