TransitionGroupID,Summary,SummaryByStateClass,TimeSinceTransition,Spatial,SpatialEvents,SpatialTimeSinceTransition,SpatialProbability,AvgSpatialTimeSinceTransition
Ag Contraction,Yes,No,No,Yes,No,No,Yes,No
Ag Expansion,Yes,No,No,Yes,No,No,Yes,No
Ag Expansion: Cropland [Type],Yes,No,No,Yes,No,No,Yes,No
Ag Expansion: Pasture [Type],Yes,No,No,Yes,No,No,Yes,No
Fire,Yes,No,No,Yes,No,No,Yes,No
Fire: High Severity [Type],Yes,No,No,Yes,No,No,Yes,No
Fire: Low Severity [Type],Yes,No,No,Yes,No,No,Yes,No
Fire: Medium Severity [Type],Yes,No,No,Yes,No,No,Yes,No
Forest Harvest,Yes,No,No,Yes,No,No,Yes,No
Forest Harvest: Forest Clearcut [Type],Yes,No,No,Yes,No,No,Yes,No
Forest Harvest: Forest Selection [Type],Yes,No,No,Yes,No,No,Yes,No
Forest Harvest: Forest Selection 20% [Type],Yes,No,No,Yes,No,No,Yes,No
Forest Harvest: Forest Selection 85% [Type],Yes,No,No,Yes,No,No,Yes,No
Forest Harvest: Salvage Logging [Type],Yes,No,No,Yes,No,No,Yes,No
Insect,Yes,No,No,Yes,No,No,Yes,No
Intensification,Yes,No,No,Yes,No,No,Yes,No
Succession: Post Fire Recovery,Yes,No,No,Yes,No,No,Yes,No
Urbanization,Yes,No,No,Yes,No,No,Yes,No
Ag Contraction Cropland: Alder/Maple Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: Aspen/Birch Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: California Mixed Conifer Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: Douglas-fir Coastal Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: Douglas-fir Inland Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: Elm/Ash/Cottonwood Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: Exotic Hardwoods Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: Exotic Softwoods Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction Cropland: Fir/Spruce/Mountain Hemlock Group [Type],Yes,No,No,No,No,No,No,No
