Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.0100,,,,,
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.0100,,,,,
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.3205,,,,,
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.9500,,,,,
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0060,,,,,
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.0300,,,,,
,,,,,Forest: Alder/Maple Group,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.0100,,,,,
,,,,,Forest: Alder/Maple Group,,,Decay: AG Fast -> AG Slow [Type],,0.0252,,,,,
,,,,,Forest: Alder/Maple Group,,,Decay: AG Medium -> AG Slow [Type],,0.0066,,,,,
,,,,,Forest: Alder/Maple Group,,,Decay: AG Very Fast -> AG Slow [Type],,0.0688,,,,,
,,,,,Forest: Alder/Maple Group,,,Decay: BG Fast -> BG Slow [Type],,0.0252,,,,,
,,,,,Forest: Alder/Maple Group,,,Decay: BG Very Fast -> BG Slow [Type],,0.0878,,,,,
,,,,,Forest: Alder/Maple Group,,,Decay: Snag Branch -> AG Slow [Type],,0.0126,,,,,
,,,,,Forest: Alder/Maple Group,,,Decay: Snag Stem -> AG Slow [Type],,0.0033,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: AG Fast -> Atmosphere [Type],,0.1230,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: AG Medium -> Atmosphere [Type],,0.0321,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: AG Slow -> Atmosphere [Type],,0.0157,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: AG Very Fast -> Atmosphere [Type],,0.3029,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: BG Fast -> Atmosphere [Type],,0.1230,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: BG Very Fast -> Atmosphere [Type],,0.4287,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: Snag Branch -> Atmosphere [Type],,0.0615,,,,,
,,,,,Forest: Alder/Maple Group,,,Emission: Snag Stem -> Atmosphere [Type],,0.0160,,,,,
,,,,,Forest: Alder/Maple Group,,,Transfer: AG Slow -> BG Slow [Type],,0.0060,,,,,
,,,,,Forest: Alder/Maple Group,,,Transfer: Snag Branch -> AG Fast [Type],,0.1000,,,,,
,,,,,Forest: Alder/Maple Group,,,Transfer: Snag Stem -> AG Medium [Type],,0.0320,,,,,
,,,,,Forest: Alder/Maple Group,0,0,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.3557,,,,,
,,,,,Forest: Alder/Maple Group,0,0,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2244,,,,,
,,,,,Forest: Alder/Maple Group,0,0,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2811,,,,,
,,,,,Forest: Alder/Maple Group,0,0,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.0381,,,,,
,,,,,Forest: Alder/Maple Group,0,0,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1007,,,,,
,,,,,Forest: Alder/Maple Group,1,1,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.2116,,,,,
,,,,,Forest: Alder/Maple Group,1,1,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1800,,,,,
,,,,,Forest: Alder/Maple Group,1,1,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2608,,,,,
,,,,,Forest: Alder/Maple Group,1,1,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.0694,,,,,
,,,,,Forest: Alder/Maple Group,1,1,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2782,,,,,
,,,,,Forest: Alder/Maple Group,2,2,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1710,,,,,
,,,,,Forest: Alder/Maple Group,2,2,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1709,,,,,
,,,,,Forest: Alder/Maple Group,2,2,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2645,,,,,
,,,,,Forest: Alder/Maple Group,2,2,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.0914,,,,,
,,,,,Forest: Alder/Maple Group,2,2,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.3021,,,,,
,,,,,Forest: Alder/Maple Group,3,3,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1497,,,,,
,,,,,Forest: Alder/Maple Group,3,3,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1659,,,,,
,,,,,Forest: Alder/Maple Group,3,3,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2692,,,,,
,,,,,Forest: Alder/Maple Group,3,3,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1093,,,,,
,,,,,Forest: Alder/Maple Group,3,3,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.3060,,,,,
,,,,,Forest: Alder/Maple Group,4,4,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1359,,,,,
,,,,,Forest: Alder/Maple Group,4,4,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1619,,,,,
,,,,,Forest: Alder/Maple Group,4,4,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2736,,,,,
,,,,,Forest: Alder/Maple Group,4,4,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1249,,,,,
,,,,,Forest: Alder/Maple Group,4,4,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.3037,,,,,
,,,,,Forest: Alder/Maple Group,5,5,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1261,,,,,
,,,,,Forest: Alder/Maple Group,5,5,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1585,,,,,
,,,,,Forest: Alder/Maple Group,5,5,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2778,,,,,
,,,,,Forest: Alder/Maple Group,5,5,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1390,,,,,
,,,,,Forest: Alder/Maple Group,5,5,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2987,,,,,
,,,,,Forest: Alder/Maple Group,6,6,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1185,,,,,
,,,,,Forest: Alder/Maple Group,6,6,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1553,,,,,
,,,,,Forest: Alder/Maple Group,6,6,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2819,,,,,
,,,,,Forest: Alder/Maple Group,6,6,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1520,,,,,
,,,,,Forest: Alder/Maple Group,6,6,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2923,,,,,
,,,,,Forest: Alder/Maple Group,7,7,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1123,,,,,
,,,,,Forest: Alder/Maple Group,7,7,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1524,,,,,
,,,,,Forest: Alder/Maple Group,7,7,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2859,,,,,
,,,,,Forest: Alder/Maple Group,7,7,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1641,,,,,
,,,,,Forest: Alder/Maple Group,7,7,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2853,,,,,
,,,,,Forest: Alder/Maple Group,8,8,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1073,,,,,
,,,,,Forest: Alder/Maple Group,8,8,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1498,,,,,
,,,,,Forest: Alder/Maple Group,8,8,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2898,,,,,
,,,,,Forest: Alder/Maple Group,8,8,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1754,,,,,
,,,,,Forest: Alder/Maple Group,8,8,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2777,,,,,
,,,,,Forest: Alder/Maple Group,9,9,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1029,,,,,
,,,,,Forest: Alder/Maple Group,9,9,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1474,,,,,
,,,,,Forest: Alder/Maple Group,9,9,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2937,,,,,
,,,,,Forest: Alder/Maple Group,9,9,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1860,,,,,
,,,,,Forest: Alder/Maple Group,9,9,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2699,,,,,
,,,,,Forest: Alder/Maple Group,10,10,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0991,,,,,
,,,,,Forest: Alder/Maple Group,10,10,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1453,,,,,
,,,,,Forest: Alder/Maple Group,10,10,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2977,,,,,
,,,,,Forest: Alder/Maple Group,10,10,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1960,,,,,
,,,,,Forest: Alder/Maple Group,10,10,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2619,,,,,
,,,,,Forest: Alder/Maple Group,11,11,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0958,,,,,
,,,,,Forest: Alder/Maple Group,11,11,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1434,,,,,
,,,,,Forest: Alder/Maple Group,11,11,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3017,,,,,
,,,,,Forest: Alder/Maple Group,11,11,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2053,,,,,
,,,,,Forest: Alder/Maple Group,11,11,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2538,,,,,
,,,,,Forest: Alder/Maple Group,12,12,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0928,,,,,
,,,,,Forest: Alder/Maple Group,12,12,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1418,,,,,
,,,,,Forest: Alder/Maple Group,12,12,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3058,,,,,
,,,,,Forest: Alder/Maple Group,12,12,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2140,,,,,
,,,,,Forest: Alder/Maple Group,12,12,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2456,,,,,
,,,,,Forest: Alder/Maple Group,13,13,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0902,,,,,
,,,,,Forest: Alder/Maple Group,13,13,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1404,,,,,
,,,,,Forest: Alder/Maple Group,13,13,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3099,,,,,
,,,,,Forest: Alder/Maple Group,13,13,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2221,,,,,
,,,,,Forest: Alder/Maple Group,13,13,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2375,,,,,
,,,,,Forest: Alder/Maple Group,14,14,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0878,,,,,
,,,,,Forest: Alder/Maple Group,14,14,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1392,,,,,
,,,,,Forest: Alder/Maple Group,14,14,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3141,,,,,
,,,,,Forest: Alder/Maple Group,14,14,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2295,,,,,
,,,,,Forest: Alder/Maple Group,14,14,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2294,,,,,
,,,,,Forest: Alder/Maple Group,15,15,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0856,,,,,
,,,,,Forest: Alder/Maple Group,15,15,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1382,,,,,
,,,,,Forest: Alder/Maple Group,15,15,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3184,,,,,
,,,,,Forest: Alder/Maple Group,15,15,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2363,,,,,
,,,,,Forest: Alder/Maple Group,15,15,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2215,,,,,
,,,,,Forest: Alder/Maple Group,16,16,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0836,,,,,
,,,,,Forest: Alder/Maple Group,16,16,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1375,,,,,
,,,,,Forest: Alder/Maple Group,16,16,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3228,,,,,
,,,,,Forest: Alder/Maple Group,16,16,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2425,,,,,
,,,,,Forest: Alder/Maple Group,16,16,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2136,,,,,
