Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture: Cropland,,Forest: Alder/Maple Group,,,Ag Contraction Cropland: Alder/Maple Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Aspen/Birch Group,,,Ag Contraction Cropland: Aspen/Birch Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: California Mixed Conifer Group,,,Ag Contraction Cropland: California Mixed Conifer Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Douglas-fir Coastal Group,,,Ag Contraction Cropland: Douglas-fir Coastal Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Douglas-fir Inland Group,,,Ag Contraction Cropland: Douglas-fir Inland Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Elm/Ash/Cottonwood Group,,,Ag Contraction Cropland: Elm/Ash/Cottonwood Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Exotic Hardwoods Group,,,Ag Contraction Cropland: Exotic Hardwoods Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Exotic Softwoods Group,,,Ag Contraction Cropland: Exotic Softwoods Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Ag Contraction Cropland: Fir/Spruce/Mountain Hemlock Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Hemlock/Sitka Spruce Group,,,Ag Contraction Cropland: Hemlock/Sitka Spruce Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Loblolly/Shortleaf Pine Group,,,Ag Contraction Cropland: Loblolly/Shortleaf Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Lodgepole Pine Group,,,Ag Contraction Cropland: Lodgepole Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Longleaf/Slash Pine Group,,,Ag Contraction Cropland: Longleaf/Slash Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Maple/Beech/Birch Group,,,Ag Contraction Cropland: Maple/Beech/Birch Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Gum/Cypress Group,,,Ag Contraction Cropland: Oak/Gum/Cypress Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Hickory Group,,,Ag Contraction Cropland: Oak/Hickory Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Pine Group,,,Ag Contraction Cropland: Oak/Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Other Western Hardwoods Group,,,Ag Contraction Cropland: Other Western Hardwoods Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Other Western Softwood Group,,,Ag Contraction Cropland: Other Western Softwood Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Pinyon/Juniper Group,,,Ag Contraction Cropland: Pinyon/Juniper Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Ponderosa Pine Group,,,Ag Contraction Cropland: Ponderosa Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Redwood Group,,,Ag Contraction Cropland: Redwood Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Spruce/Fir Group,,,Ag Contraction Cropland: Spruce/Fir Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Tanoak/Laurel Group,,,Ag Contraction Cropland: Tanoak/Laurel Group,1,,,,,,,,
