TransitionGroupID,ProjectID,Name,Description,IsAuto
232,1,Ag Contraction: Alder/Maple Group [Type],,-1
233,1,Ag Contraction: Aspen/Birch Group [Type],,-1
234,1,Ag Contraction: California Mixed Conifer Group [Type],,-1
235,1,Ag Contraction: Douglas-fir Coastal Group [Type],,-1
236,1,Ag Contraction: Douglas-fir Inland Group [Type],,-1
237,1,Ag Contraction: Elm/Ash/Cottonwood Group [Type],,-1
238,1,Ag Contraction: Exotic Hardwoods Group [Type],,-1
239,1,Ag Contraction: Exotic Softwoods Group [Type],,-1
240,1,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],,-1
241,1,Ag Contraction: Hemlock/Sitka Spruce Group [Type],,-1
242,1,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],,-1
243,1,Ag Contraction: Lodgepole Pine Group [Type],,-1
244,1,Ag Contraction: Longleaf/Slash Pine Group [Type],,-1
245,1,Ag Contraction: Maple/Beech/Birch Group [Type],,-1
246,1,Ag Contraction: Oak/Gum/Cypress Group [Type],,-1
247,1,Ag Contraction: Oak/Hickory Group [Type],,-1
248,1,Ag Contraction: Oak/Pine Group [Type],,-1
249,1,Ag Contraction: Other Western Hardwoods Group [Type],,-1
250,1,Ag Contraction: Other Western Softwood Group [Type],,-1
251,1,Ag Contraction: Pinyon/Juniper Group [Type],,-1
252,1,Ag Contraction: Ponderosa Pine Group [Type],,-1
253,1,Ag Contraction: Redwood Group [Type],,-1
254,1,Ag Contraction: Spruce/Fir Group [Type],,-1
255,1,Ag Contraction: Tanoak/Laurel Group [Type],,-1
256,1,Ag Contraction: Tropical Hardwoods Group [Type],,-1
257,1,Ag Contraction: Western Larch Group [Type],,-1
258,1,Ag Contraction: Western Oak Group [Type],,-1
259,1,Ag Contraction: Western White Pine Group [Type],,-1
260,1,Ag Contraction: White/Red/Jack Pine Group [Type],,-1
261,1,Ag Contraction: Grassland Annual [Type],,-1
262,1,Ag Contraction: Grassland Natural Perennial [Type],,-1
263,1,Ag Contraction: Grassland Irrigated Perennial [Type],,-1
264,1,Ag Contraction: Shrubland Native Sage Steppe [Type],,-1
265,1,Ag Contraction: Shrubland Invaded Sage Steppe [Type],,-1
266,1,Ag Contraction: Shrubland Sage [Type],,-1
267,1,Ag Contraction: Shrubland Non-sage [Type],,-1
268,1,Ag Contraction: Shrubland Chaparral [Type],,-1
269,1,Ag Contraction: Shrubland Post Fire Shrub [Type],,-1
270,1,Ag Contraction: Wetland Palustrine Forested [Type],,-1
271,1,Ag Contraction: Wetland Estuarine Forested [Type],,-1
272,1,Ag Contraction: Wetland Palustrine Emergent [Type],,-1
273,1,Ag Contraction: Wetland Estuarine Emergent [Type],,-1
274,1,Ag Expansion: Cropland [Type],,-1
275,1,Ag Expansion: Pasture [Type],,-1
276,1,Fire: High Severity [Type],,-1
277,1,Fire: Low Severity [Type],,-1
278,1,Fire: Medium Severity [Type],,-1
279,1,Forest Harvest: Forest Clearcut [Type],,-1
280,1,Forest Harvest: Forest Selection [Type],,-1
281,1,Forest Harvest: Forest Selection 20% [Type],,-1
282,1,Forest Harvest: Forest Selection 85% [Type],,-1
283,1,Forest Harvest: Salvage Logging [Type],,-1
284,1,Insect: High Severity [Type],,-1
285,1,Insect: Low Severity [Type],,-1
286,1,Insect: Medium Severity [Type],,-1
287,1,Intensification: Low to High [Type],,-1
288,1,Intensification: Low to Medium [Type],,-1
289,1,Intensification: Medium to High [Type],,-1
290,1,Intensification: Open to High [Type],,-1
291,1,Intensification: Open to Low [Type],,-1
292,1,Intensification: Open to Medium [Type],,-1
293,1,Restoration Wetland: Estuarine Emergent [Type],,-1
294,1,Restoration Wetland: Estuarine Forested [Type],,-1
295,1,Restoration Wetland: Palustrine Emergent [Type],,-1
296,1,Restoration Wetland: Palustrine Forested [Type],,-1
297,1,Succession Post Fire: Alder/Maple Group [Type],,-1
298,1,Succession Post Fire: Aspen/Birch Group [Type],,-1
299,1,Succession Post Fire: California Mixed Conifer Group [Type],,-1
300,1,Succession Post Fire: Douglas-fir Coastal Group [Type],,-1
301,1,Succession Post Fire: Douglas-fir Inland Group [Type],,-1
302,1,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],,-1
303,1,Succession Post Fire: Exotic Hardwoods Group [Type],,-1
304,1,Succession Post Fire: Exotic Softwoods Group [Type],,-1
305,1,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],,-1
306,1,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],,-1
307,1,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],,-1
308,1,Succession Post Fire: Lodgepole Pine Group [Type],,-1
309,1,Succession Post Fire: Longleaf/Slash Pine Group [Type],,-1
310,1,Succession Post Fire: Maple/Beech/Birch Group [Type],,-1
311,1,Succession Post Fire: Oak/Gum/Cypress Group [Type],,-1
312,1,Succession Post Fire: Oak/Hickory Group [Type],,-1
313,1,Succession Post Fire: Oak/Pine Group [Type],,-1
314,1,Succession Post Fire: Other Western Hardwoods Group [Type],,-1
315,1,Succession Post Fire: Other Western Softwood Group [Type],,-1
316,1,Succession Post Fire: Pinyon/Juniper Group [Type],,-1
317,1,Succession Post Fire: Ponderosa Pine Group [Type],,-1
318,1,Succession Post Fire: Redwood Group [Type],,-1
319,1,Succession Post Fire: Spruce/Fir Group [Type],,-1
320,1,Succession Post Fire: Tanoak/Laurel Group [Type],,-1
321,1,Succession Post Fire: Tropical Hardwoods Group [Type],,-1
322,1,Succession Post Fire: Western Larch Group [Type],,-1
323,1,Succession Post Fire: Western Oak Group [Type],,-1
324,1,Succession Post Fire: Western White Pine Group [Type],,-1
325,1,Succession Post Fire: White/Red/Jack Pine Group [Type],,-1
326,1,Urbanization: High [Type],,-1
327,1,Urbanization: Low [Type],,-1
328,1,Urbanization: Medium [Type],,-1
329,1,Urbanization: Open [Type],,-1
330,1,Ag Change,,
331,1,Ag Contraction,,
332,1,Ag Contraction: Cropland,,
333,1,Ag Contraction: Pasture,,
334,1,Ag Expansion,,
335,1,Fire,,
336,1,Forest Harvest,,
337,1,Insect,,
338,1,Intensification,,
339,1,Succession,,
340,1,Succession: Post Fire Recovery,,
341,1,Urbanization,,
342,1,Restoration Wetland,,
