FlowGroupID,ProjectID,Name,Description,Units,IsAuto
575,1,Biomass Turnover: Coarse Roots -> AG Fast [Type],,,-1
576,1,Biomass Turnover: Coarse Roots -> BG Fast [Type],,,-1
577,1,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,,-1
578,1,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,,-1
579,1,Biomass Turnover: Foliage -> AG Very Fast [Type],,,-1
580,1,Biomass Turnover: Merchantable -> Snag Stems [Type],,,-1
581,1,Biomass Turnover: Other Wood -> AG Fast [Type],,,-1
582,1,Biomass Turnover: Other Wood -> Snag Branches [Type],,,-1
583,1,Decay: AG Fast -> AG Slow [Type],,,-1
584,1,Decay: AG Medium -> AG Slow [Type],,,-1
585,1,Decay: AG Very Fast -> AG Slow [Type],,,-1
586,1,Decay: AG Very Fast -> BG Slow [Type],,,-1
587,1,Decay: BG Fast -> BG Slow [Type],,,-1
588,1,Decay: BG Very Fast -> BG Slow [Type],,,-1
589,1,Decay: Snag Branch -> AG Slow [Type],,,-1
590,1,Decay: Snag Stem -> AG Slow [Type],,,-1
591,1,Emission: AG Fast -> Atmosphere [Type],,,-1
592,1,Emission: AG Medium -> Atmosphere [Type],,,-1
593,1,Emission: AG Slow -> Atmosphere [Type],,,-1
594,1,Emission: AG Very Fast -> Atmosphere [Type],,,-1
595,1,Emission: BG Fast -> Atmosphere [Type],,,-1
596,1,Emission: BG Slow -> Atmosphere [Type],,,-1
597,1,Emission: BG Very Fast -> Atmosphere [Type],,,-1
598,1,Emission: Snag Branch -> Atmosphere [Type],,,-1
599,1,Emission: Snag Stem -> Atmosphere [Type],,,-1
600,1,Lateral Transport: AG Very Fast -> Aquatic [Type],,,-1
601,1,Lateral Transport: BG Slow -> Aquatic [Type],,,-1
602,1,Lateral Transport: BG Very Fast -> Aquatic [Type],,,-1
603,1,LULC: Emission DOM CH4 [Type],,,-1
604,1,LULC: Emission DOM CO [Type],,,-1
605,1,LULC: Emission DOM CO2 [Type],,,-1
606,1,LULC: Emission Live CH4 [Type],,,-1
607,1,LULC: Emission Live CO [Type],,,-1
608,1,LULC: Emission Live CO2 [Type],,,-1
609,1,LULC: Harvest DOM [Type],,,-1
610,1,LULC: Harvest Live [Type],,,-1
611,1,LULC: Mortality Live [Type],,,-1
612,1,LULC: Transfer DOM [Type],,,-1
613,1,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,,-1
614,1,Net Growth Forest: Atmosphere -> Fine Roots [Type],,,-1
615,1,Net Growth Forest: Atmosphere -> Foliage [Type],,,-1
616,1,Net Growth Forest: Atmosphere -> Merchantable [Type],,,-1
617,1,Net Growth Forest: Atmosphere -> Other Wood [Type],,,-1
618,1,Net Growth Non Forest: Atmosphere -> Coarse Roots [Type],,,-1
619,1,Net Growth Non Forest: Atmosphere -> Fine Roots [Type],,,-1
620,1,Net Growth Non Forest: Atmosphere -> Foliage [Type],,,-1
621,1,Net Growth Non Forest: Atmosphere -> Merchantable [Type],,,-1
622,1,Net Growth Non Forest: Atmosphere -> Other Wood [Type],,,-1
623,1,Net Growth Wetland Emergent: Atmosphere -> Fine Roots [Type],,,-1
624,1,Net Growth Wetland Emergent: Atmosphere -> Foliage [Type],,,-1
625,1,Stabilization: BG Slow -> Deep Soil [Type],,,-1
626,1,Transfer: AG Slow -> BG Slow [Type],,,-1
627,1,Transfer: Snag Branch -> AG Fast [Type],,,-1
628,1,Transfer: Snag Stem -> AG Medium [Type],,,-1
629,1,AG Very Fast ->,,,
630,1,Annual Net CO2 Emissions (CO2e),Equivalent to NetCO2emissions_removals_CO2e in the CBMCFS3,,
631,1,Annual Net CO2 Removals (CO2e),Inverse of NetCO2emissions_removals_CO2e in the CBMCFS3,,
632,1,Annual Net Emissions (CO2e),Includes all gasses,,
633,1,Annual Net Removals (CO2e),Includes all gasses,,
634,1,BG Slow ->,,,
635,1,BG Very Fast ->,,,
636,1,Biomass Turnover: Total,,,
637,1,Decay: Total,,,
638,1,Emission: Total,Total carbon emissions in C,,
639,1,Emission: Total (CO2e),Total carbon emissions in CO2e,,
640,1,Emission: Total Rh,Total carbon emissions from all ecosystem components (DOM+ Biomass) in C,,
641,1,Emission: Total Rh (CO2e),Total carbon emissions from all ecosystem components (DOM+ Biomass) in CO2e,,
642,1,LULC: Emission,Total carbon emissions from disturbances in C,,
643,1,LULC: Emission (CO2e),Total carbon emissions from disturbances in CO2e,,
644,1,LULC: Emission CH4,CH4 emissions in C,,
645,1,LULC: Emission CH4 (CO2e),CH4 emissions in CO2e,,
646,1,LULC: Emission CO,CO emissions in C,,
647,1,LULC: Emission CO (CO2e),CO emissions in CO2e,,
648,1,LULC: Emission CO2,CO2 emissions in C,,
649,1,LULC: Emission CO2 (CO2e),CO2 emissions in CO2e,,
650,1,LULC: Emission DOM,Total DOM emissions in C,,
651,1,LULC: Emission DOM (CO2e),Total DOM emissions in CO2e,,
652,1,LULC: Emission Live,Total live emissions in C,,
653,1,LULC: Emission Live (CO2e),Total live emissions in CO2e,,
654,1,LULC: Harvest,,,
655,1,LULC: Mortality,,,
656,1,LULC: Transfer,,,
657,1,Net Biome Productivity,Net carbon sink in ecosystems after impacts from land use and disturbance are accounted for in C,,
658,1,Net Biome Productivity (CO2e),Net carbon sink in ecosystems after impacts from land use and disturbance are accounted for in CO2e,,
659,1,Net Ecosystem Productivity,Net carbon sink in ecosystems before impacts from land use and disturbance are accounted for in C,,
660,1,Net Ecosystem Productivity (CO2e),Net carbon sink in ecosystems before impacts from land use and disturbance are accounted for in CO2e,,
661,1,Net Growth Forest: Total,Net biomass increment in forest before losses from disturbances,,
662,1,Net Growth Non Forest: Total,,,
663,1,Net Growth Wetland: Total,,,
664,1,Net Growth: Total,Net biomass increment before losses from disturbances,,
665,1,Net Growth: Total (CO2e),,,
666,1,Net Primary Productivity,Same as Net Growth:Total in C,,
667,1,Net Primary Productivity (CO2e),Same as Net Growth:Total in CO2e,,
668,1,Q10 Fast Flows,,,
669,1,Q10 Slow Flows,,,
670,1,Transfer: Total,,,
671,1,Lateral Flux,,,
672,1,Lateral Flux (CO2e),,,
