StockGroupID,ProjectID,Name,Description,Units,IsAuto
484,1,Aquatic [Type],,,-1
485,1,Atmosphere [Type],,,-1
486,1,Atmosphere: CH4 [Type],,,-1
487,1,Atmosphere: CO [Type],,,-1
488,1,Atmosphere: CO2 [Type],,,-1
489,1,Biomass: Coarse Root [Type],,,-1
490,1,Biomass: Fine Root [Type],,,-1
491,1,Biomass: Foliage [Type],,,-1
492,1,Biomass: Merchantable [Type],,,-1
493,1,Biomass: Other Wood [Type],,,-1
494,1,Deep Soil [Type],,,-1
495,1,DOM: Aboveground Fast [Type],,,-1
496,1,DOM: Aboveground Medium [Type],,,-1
497,1,DOM: Aboveground Slow [Type],,,-1
498,1,DOM: Aboveground Very Fast [Type],,,-1
499,1,DOM: Belowground Fast [Type],,,-1
500,1,DOM: Belowground Slow [Type],,,-1
501,1,DOM: Belowground Very Fast [Type],,,-1
502,1,DOM: Snag Branch [Type],,,-1
503,1,DOM: Snag Stem [Type],,,-1
504,1,Forestry Sector [Type],,,-1
505,1,DOM: Black Carbon [Type],,,-1
506,1,DOM: Peat [Type],,,-1
507,1,Atmosphere,,,
508,1,Biomass: Aboveground,Carbon in all aboveground biomass pools,,
509,1,Biomass: Belowground,Carbon in all belowground biomnass pools (coarse plus fine roots),,
510,1,Biomass: Total,Carbon in aboverground and belowground biomass pools,,
511,1,DOM: Aboveground,Carbon in DOM pools above the mineral soil,,
512,1,DOM: Belowground,Carbon in DOM pools in the mineral soil,,
513,1,DOM: Deadwood,Carbon in all deadwood pools,,
514,1,DOM: Down Deadwood,Carbon stores in down deadwood,,
515,1,DOM: Litter,"Aboveground Fast, Aboveground Very Fast",,
516,1,DOM: No Soil,All DOM stocks except DOM: Soil stocks,,
517,1,DOM: Soil,"Aboveground Slow, Belowground Slow, Belowground Very Fast, Deep Soil",,
518,1,DOM: Standing Deadwood,"Snag branch, Snag stem",,
519,1,DOM: Total,Carbon in all DOM pools,,
520,1,Total Ecosystem,Carbon in Biomass and DOM pools,,
